Date,Team,Open ML,Current ML,Dyn W%,ML Conf,RL,RL Odds,Cover Pct,Cov Conf,Pred Score,Vegas Total,Total Odds,Total Prob,Pred Total,Opp Starter,Throws,Starter ERA,NRFI Pick,YRFI Prob,Game Time
2026-08-20,STL,-113.0,-109.0,0.5173,L,-1.5,140.0,,,4.81,9.0,-105.0,,9.44,B. Singer,R,4.66,YRFI,0.5205,12:40:00
2026-08-20,CIN,102.0,-102.0,0.4827,L,1.5,-165.0,0.6643,H,4.58,,-115.0,0.525,,M. McGreevy,R,3.48,,,12:40:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,SF,169.0,180.0,0.3624000000000001,H,1.5,-127.0,0.6807000000000001,H,4.19,7.0,-104.0,0.5703,8.26,G. Williams,R,3.74,NRFI,0.4427,13:10:00
2026-08-20,CLE,-189.0,-205.0,0.6376,H,-1.5,106.0,,,4.4,,-116.0,,,L. Roupp,R,4.31,,,13:10:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,TOR,144.0,144.0,0.3975,H,1.5,-156.0,0.6553,H,4.54,7.0,-120.0,0.6253,8.6,I. Seymour,L,4.11,NRFI,0.4427,13:10:00
2026-08-20,TB,-164.0,-161.0,0.6025,H,-1.5,135.0,,,4.86,,100.0,,,S. Bieber,R,4.99,,,13:10:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,OAK,123.0,120.0,0.4369,M,1.5,-185.0,0.647,H,4.09,8.0,-115.0,0.5237,8.8,R. Dobnak,R,1.73,,0.4815,13:10:00
2026-08-20,KC,-137.0,-133.0,0.5631,M,-1.5,155.0,,,4.58,,-105.0,,,G. Jump,L,4.5,,,13:10:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,ATL,-108.0,-106.0,0.507,L,-1.5,150.0,,,4.74,8.5,-115.0,,8.37,A. Kay,L,4.01,,0.501,13:10:00
2026-08-20,CWS,-102.0,-105.0,0.493,L,1.5,-178.0,0.6367,H,4.24,,-105.0,0.5349999999999999,,G. Holmes,R,3.82,,,13:10:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,SEA,115.0,116.0,0.4530999999999999,L,1.5,-188.0,0.6839999999999999,H,4.3,8.0,-105.0,,8.63,R. Gasser,L,4.54,,0.4815,13:10:00
2026-08-20,MIL,-128.0,-130.0,0.5469,L,-1.5,160.0,,,4.47,,-115.0,0.508,,G. Kirby,R,3.89,,,13:10:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,NYY,-124.0,-120.0,0.5352,L,-1.5,138.0,,,4.27,7.5,-112.0,,7.11,K. Bradish,R,3.65,NRFI,0.4621,18:35:00
2026-08-20,BAL,108.0,106.0,0.4648,L,1.5,-160.0,0.6557,H,3.95,,-108.0,0.5883,,G. Cole,R,3.22,,,18:35:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,WSH,147.0,142.0,0.3951,H,1.5,-153.0,0.6867,H,4.05,7.5,-110.0,0.53,7.91,J. deGrom,R,3.95,NRFI,0.4621,19:05:00
2026-08-20,TEX,-163.0,-160.0,0.6049,H,-1.5,130.0,,,4.19,,-110.0,,,A. Alvarez,L,3.72,,,19:05:00
2026-08-20,,,,,,,,,,,,,,,,,,,,
2026-08-20,LAA,164.0,162.0,0.3694,H,1.5,-135.0,0.5487,L,3.92,8.5,-105.0,,8.33,P. Lambert,R,3.11,,0.501,19:10:00
2026-08-20,HOU,-183.0,-180.0,0.6306,H,-1.5,114.0,,,5.11,,-115.0,0.5489999999999999,,G. Rodriguez,R,7.17,,,19:10:00
2026-08-20,"Favorite (blue)   Underdog (orange)   |   ML Conf / Cov Conf:  H = High (60%+ / 60-72% dogs only)   M = Medium (55-60% ML only)   L = Low (50-55% ML / 50-60% dogs)   -- recalibrated June 2026, 6,203 games; fav cover suppressed   |   Total Prob has no predictive signal -- no confidence shown   |   NRFI/YRFI: informational only (away row) -- sigmoid(-1.3228 + 0.1561*total), AUC=0.538, re-fit June 2026 (2,592 games); re-fit when 3+ seasons available   |   Sims: 5,000 Stage 1  /  3,000 Stage 2",,,,,,,,,,,,,,,,,,,
