Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-07,boxscore,ATL,,CIN,L,3,6,,0-1,4,1,Mahle,Fried,Santillan,0.1256944444,N,40545.0,0.96,-,,36,31,3,4,0,0,1,2,0,0,5,13,0.129,0.25,0.226,0.476,7,0,0,0,0,0,0,0.176,6,10,Tyler Mahle,R,64,2022,9.0,142,94,21,22,"M.Fried (99-37-L), C.McHugh (99), S.Strider (99), T.Thornburg (99)"
2,2022-04-08,boxscore,ATL,,CIN,W,7,6,,44927,3,1,Morton,Sanmartin,,0.1298611111,N,40234.0,0.92,+,,39,31,7,8,2,0,0,7,0,0,7,8,0.194,0.32,0.274,0.594,10,1,0,0,1,1,0,0.333,8,10,Reiver Sanmartin,L,26,2022,9.0,140,93,26,12,"C.Morton (99-60-W), A.Minter (99), W.Smith (99), T.Matzek (99), K.Jansen 
(99)"
3,2022-04-09,boxscore,ATL,,CIN,W,2,1,,44958,3,1,Wright,Gutierrez,Smith,0.1180555556,N,40310.0,0.94,++,,36,29,2,8,4,0,0,2,0,0,4,7,0.22,0.342,0.319,0.661,12,0,2,0,1,0,0,0.348,10,10,Vladimir Gutierrez,R,45,2022,9.0,130,87,24,19,"K.Wright (99-73-W), A.Minter (0-H), D.O'Day (99-H), W.Smith (0-S)"
4,2022-04-10,boxscore,ATL,,CIN,L,3,6,,44959,3,1,Greene,Anderson,Warren,0.1347222222,D,38233.0,0.94,-,,35,32,3,7,1,0,2,3,0,0,2,10,0.22,0.322,0.35,0.672,14,1,0,0,1,0,0,0.238,5,9,Hunter Greene,R,52,2022,9.0,181,108,22,20,"I.Anderson (99-28-L), S.Newcomb (99), C.McHugh (2), T.Thornburg (2)"
5,2022-04-11,boxscore,ATL,,WSN,L,2,11,,44960,3,1.5,Rogers,Ynoa,,0.1479166667,N,42263.0,0.96,--,,34,31,2,4,1,0,0,2,0,0,3,8,0.201,0.3,0.312,0.612,5,0,0,0,0,0,0,0.174,5,9,Josh Rogers,L,61,2022,9.0,201,118,23,24,"H.Ynoa (99-27-L), S.Strider (3), T.Davidson (99)"
6,2022-04-12,boxscore,ATL,,WSN,W,16,4,,44988,3,1,Elder,Corbin,Stephens,0.1506944444,N,31462.0,0.93,+,,52,42,16,19,5,0,3,14,0,0,9,8,0.255,0.358,0.413,0.771,33,0,1,0,0,0,0,0.516,12,9,Patrick Corbin,L,16,2022,9.0,150,89,24,14,"B.Elder (99-49-W), D.O'Day (2), J.Stephens (99-S)"
7,2022-04-13,boxscore,ATL,,WSN,L,1,3,,44989,3,2,Gray,Fried,Rainey,0.1229166667,D,31959.0,0.97,-,,31,27,1,3,0,0,1,1,0,1,3,8,0.238,0.342,0.39,0.732,6,2,1,0,0,0,0,0.111,3,10,Josiah Gray,R,67,2022,9.0,128,89,21,16,"M.Fried (5-48-L), C.McHugh (2), A.Minter (3), T.Matzek (4), K.Jansen (4)"
8,2022-04-14,boxscore,ATL,@,SDP,L,1,12,,44990,3,2.5,Musgrove,Morton,,0.1298611111,N,44844.0,0.89,--,,32,32,1,6,1,0,1,1,0,0,0,9,0.231,0.325,0.38,0.706,10,1,0,0,0,0,0,0.227,4,9,Joe Musgrove,R,72,2022,8.0,168,101,30,15,"C.Morton (5-31-L), S.Newcomb (3), W.Smith (4), T.Thornburg (3)"
9,2022-04-15,boxscore,ATL,@,SDP,W,5,2,,45021,2,2.5,O'Day,Johnson,Jansen,0.1402777778,N,41993.0,0.86,+,,39,35,5,9,2,0,1,4,0,0,4,9,0.234,0.326,0.383,0.709,14,1,0,0,0,0,0,0.32,7,9,MacKenzie Gore,L,55,2022,9.0,145,97,29,21,"K.Wright (5-58), A.Minter (1), D.O'Day (2-W), T.Matzek (1-H), K.Jansen (1-S)"
10,2022-04-16,boxscore,ATL,@,SDP,W,5,2,,45051,2,1.5,Anderson,Martinez,Jansen,0.1229166667,D,36924.0,0.91,++,,39,33,5,9,3,0,3,5,0,0,4,6,0.238,0.33,0.409,0.738,21,2,1,0,1,0,0,0.24,7,10,Nick Martinez,R,36,2022,9.0,142,90,22,25,"I.Anderson (5-67-W), C.McHugh (2), W.Smith (1), K.Jansen (0-S)"
