Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,BAL,@,TBR,L,1,2,,0-1,4,1,Kittredge,Tate,Raley,0 days 03:14:00,D,25025.0,0.96,-,,37,33,1,7,2,0,1,1,0,0,3,14,0.212,0.297,0.364,0.661,12,1,1,0,0,0,0,0.333,9,12,Shane McClanahan,L,60,2022,8.0,146.0,97.0,23.0,17.0,"J.Means (99-50), B.Baker (99), C.Pérez (99), D.Tate (99-L), J.López (99), 
P.Fry (99)"
2,2022-04-09,boxscore,BAL,@,TBR,L,3,5,,0-2,4,2,Fleming,Lyles,Kittredge,0 days 02:33:00,D,15615.0,0.93,--,,36,34,3,8,2,0,1,3,1,0,1,10,0.224,0.288,0.373,0.661,13,1,1,0,0,0,0,0.304,6,10,Drew Rasmussen,R,50,2022,8.0,114.0,79.0,17.0,16.0,"J.Lyles (99-32-L), K.Akin (99)"
3,2022-04-10,boxscore,BAL,@,TBR,L,0,8,,0-3,5,3,Springs,Wells,,0 days 03:10:00,D,14100.0,0.89,---,,37,32,0,6,2,0,0,0,1,1,5,13,0.212,0.291,0.333,0.624,8,0,0,0,0,0,0,0.316,10,14,Corey Kluber,R,59,2022,8.0,155.0,97.0,26.0,19.0,"T.Wells (99-33-L), F.Bautista (99), J.Krehbiel (99), B.Baker (1), P.Fry (1)"
4,2022-04-11,boxscore,BAL,,MIL,W,2,0,,2023-01-03 00:00:00,4,2,Baumann,Houser,López,0 days 03:24:00,D,44461.0,0.76,+,,37,31,2,6,1,0,0,2,1,0,6,7,0.208,0.299,0.308,0.607,7,1,0,0,0,2,0,0.25,11,10,Adrian Houser,R,45,2022,9.0,141.0,87.0,28.0,14.0,"B.Zimmermann (99-58), M.Baumann (99-W), D.Tate (2-H), C.Pérez (2-H), J.López 
(2-S)"
5,2022-04-12,boxscore,BAL,,MIL,L,4,5,,44930,5,3,Milner,Bautista,Hader,0 days 03:38:00,N,11814.0,0.81,-,,41,34,4,7,2,0,1,4,0,0,6,14,0.207,0.305,0.317,0.622,12,0,0,0,0,0,0,0.316,10,13,Eric Lauer,L,46,2022,9.0,158.0,98.0,25.0,11.0,"S.Watkins (99-40), K.Akin (2), F.Bautista (1-L), C.Pérez (0), B.Baker (1), 
J.Krehbiel (1)"
6,2022-04-13,boxscore,BAL,,MIL,L,2,4,,44931,5,3,Boxberger,López,Hader,0 days 03:04:00,N,12704.0,0.75,--,,36,30,2,5,1,0,0,2,0,0,3,10,0.201,0.3,0.299,0.599,6,0,2,0,1,0,0,0.238,7,12,Corbin Burnes,R,78,2022,9.0,133.0,82.0,20.0,12.0,"J.Means (4-51), J.Krehbiel (0), D.Tate (1), F.Bautista (0), J.López (1-L), 
P.Fry (2)"
7,2022-04-15,boxscore,BAL,,NYY,W-wo,2,1,11.0,44962,5,2.5,Krehbiel,Schmidt,,0 days 04:15:00,N,32197.0,0.81,+,,47,36,2,6,1,0,0,2,0,0,10,9,0.196,0.309,0.283,0.591,7,0,0,1,0,0,1,0.222,15,13,Jordan Montgomery,L,61,2022,11.0,165.0,108.0,33.0,22.0,"J.Lyles (5-54), D.Tate (1), J.López (1), B.Baker (2), C.Pérez (2), 
J.Krehbiel (1-W)"
8,2022-04-16,boxscore,BAL,,NYY,L,2,5,,44963,5,2.5,Sears,Lakins,Holmes,0 days 03:26:00,N,28179.0,0.87,-,,37,33,2,7,0,0,1,2,0,0,3,7,0.198,0.305,0.285,0.59,10,0,0,1,0,0,0,0.24,8,9,Jameson Taillon,R,51,2022,9.0,161.0,114.0,34.0,11.0,"T.Wells (5-57), M.Baumann (4), T.Lakins (99-BL), P.Fry (2), A.Wells (99)"
9,2022-04-17,boxscore,BAL,,NYY,W,5,0,,44991,5,2.5,López,Loáisiga,,0 days 03:16:00,D,25938.0,0.79,+,,37,33,5,9,1,0,0,5,1,0,4,16,0.206,0.31,0.287,0.597,10,0,0,0,0,0,0,0.529,8,12,Nestor Cortes,L,72,2022,9.0,127.0,88.0,22.0,21.0,"B.Zimmermann (5-63), F.Bautista (3), D.Tate (1), J.López (1-W)"
10,2022-04-18,boxscore,BAL,@,OAK,L,1,5,,44992,5,3,Montas,Krehbiel,,0 days 02:59:00,N,17503.0,0.83,-,,35,32,1,7,2,1,0,1,0,0,3,10,0.207,0.308,0.293,0.6,11,1,0,0,0,0,0,0.318,7,10,Frankie Montas,R,67,2022,8.0,139.0,92.0,25.0,15.0,"S.Watkins (5-58), J.Krehbiel (2-L), M.Diplán (99), K.Akin (5)"
