Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,BOS,@,NYY,L-wo,5,6,11.0,0-1,4.0,1,King,Crawford,,0.1638888889,D,46097,1.01,-,,43,39,5,9,2,0,1,5,0,0,3,11,0.231,0.302,0.359,0.661,14,3,1,0,0,0.0,1,0.296,7,12.0,Gerrit Cole,R,44.0,2022,10.0,162.0,115.0,26.0,33.0,"N.Eovaldi (99-51), G.Whitlock (99-BS), M.Strahm (99), H.Robles (99), 
J.Diekman (99-H), R.Brasier (99-BS), K.Crawford (99-L)"
2,2022-04-09,boxscore,BOS,@,NYY,L,2,4,,0-2,4.0,2,Luetge,Pivetta,Chapman,0.1236111111,D,46882,0.94,--,,37,33,2,5,2,0,1,2,0,0,4,12,0.194,0.275,0.333,0.608,10,0,0,0,0,1.0,0,0.2,8,10.0,Luis Severino,R,46.0,2022,8.0,109.0,68.0,16.0,11.0,"N.Pivetta (99-46-L), A.Davis (99), H.Sawamura (99), P.Valdéz (99)"
3,2022-04-10,boxscore,BOS,@,NYY,W,4,3,,44928,4.0,2,Crawford,Schmidt,Diekman,0.1527777778,N,40108,0.9,+,,37,30,4,5,1,0,1,4,0,0,4,8,0.186,0.274,0.324,0.597,9,1,1,0,2,0.0,0,0.174,6,10.0,Jordan Montgomery,L,43.0,2022,9.0,170.0,105.0,36.0,23.0,"T.Houck (99-36), R.Brasier (1), K.Crawford (1-W), M.Strahm (1-H), H.Robles 
(1-H), J.Diekman (1-S)"
4,2022-04-11,boxscore,BOS,@,DET,L,1,3,,44929,4.0,2,Fulmer,Davis,Soto,0.1180555556,N,11840,0.9,-,,31,31,1,4,1,0,1,1,0,0,0,5,0.173,0.243,0.308,0.552,8,0,0,0,0,0.0,0,0.12,3,9.0,Matt Manning,R,68.0,2022,8.0,145.0,96.0,23.0,18.0,"M.Wacha (99-56), M.Strahm (0), M.Barnes (99), A.Davis (1-L), R.Brasier (0), 
P.Valdéz (1)"
5,2022-04-12,boxscore,BOS,@,DET,W,5,3,,44960,4.0,2,Whitlock,Lange,,0.1173611111,D,15781,0.87,+,,38,34,5,9,3,0,0,5,0,0,2,6,0.192,0.259,0.317,0.577,12,1,1,1,0,0.0,0,0.321,6,10.0,Tyler Alexander,L,50.0,2022,9.0,112.0,85.0,26.0,9.0,"R.Hill (99-44), H.Sawamura (2), G.Whitlock (3-W)"
6,2022-04-13,boxscore,BOS,@,DET,W,9,7,,44988,3.0,1,Eovaldi,Rodriguez,Robles,0.1604166667,D,10522,0.92,++,,46,37,9,12,6,0,1,9,0,0,6,8,0.216,0.287,0.363,0.65,21,0,0,1,2,1.0,1,0.367,10,9.0,Eduardo Rodríguez,L,35.0,2022,9.0,194.0,128.0,29.0,21.0,"N.Eovaldi (4-56-W), M.Barnes (1), A.Davis (1), K.Crawford (2), J.Diekman 
(2-H), H.Robles (2-S)"
7,2022-04-15,boxscore,BOS,,MIN,L,4,8,,44989,4.0,1.5,Ryan,Pivetta,,0.1479166667,D,36266,0.93,-,,34,34,4,8,2,0,2,4,0,0,0,13,0.218,0.28,0.378,0.658,16,1,0,0,0,0.0,0,0.316,3,9.0,Joe Ryan,R,65.0,2022,9.0,197.0,114.0,34.0,24.0,"N.Pivetta (5-30-L), P.Valdéz (3), H.Sawamura (2), R.Brasier (3), A.Davis 
(1), M.Barnes (1)"
8,2022-04-16,boxscore,BOS,,MIN,W,4,0,,45020,3.0,0.5,Houck,Gray,,0.1145833333,D,34990,0.94,+,,31,29,4,6,1,0,2,4,0,0,2,4,0.217,0.278,0.386,0.664,13,1,0,0,0,0.0,0,0.174,3,9.0,Sonny Gray,R,45.0,2022,9.0,133.0,83.0,28.0,12.0,"T.Houck (5-66-W), M.Strahm (4), G.Whitlock (3)"
9,2022-04-17,boxscore,BOS,,MIN,W,8,1,,45050,2.0,0.5,Strahm,Ober,,0.11875,D,28858,0.98,++,,37,32,8,11,2,0,0,8,0,1,2,5,0.231,0.286,0.388,0.674,13,0,0,0,3,1.0,0,0.367,5,10.0,Bailey Ober,R,62.0,2022,9.0,148.0,95.0,25.0,15.0,"M.Wacha (5-68), M.Strahm (0-W), R.Brasier (1-H), J.Diekman (3-H), A.Davis 
(1)"
10,2022-04-18,boxscore,BOS,,MIN,L,3,8,,45051,2.0,1,Bundy,Hill,,0.1444444444,D,32514,1.01,-,,40,38,3,11,3,0,1,3,0,0,2,12,0.237,0.29,0.395,0.685,17,0,0,0,0,0.0,1,0.4,10,9.0,Dylan Bundy,R,60.0,2022,9.0,165.0,102.0,31.0,8.0,"R.Hill (5-36-L), P.Valdéz (2), K.Crawford (4), H.Sawamura (2)"
11,2022-04-19,boxscore,BOS,,TOR,W,2,1,,45082,1.0,Tied,Robles,García,Whitlock,0.1319444444,N,31640,1.06,+,,31,27,2,3,2,0,0,2,0,0,3,6,0.228,0.283,0.379,0.662,5,1,0,0,1,2.0,0,0.136,5,10.0,Yusei Kikuchi,L,57.0,2022,9.0,152.0,100.0,32.0,9.0,"N.Eovaldi (5-51), M.Strahm (1), H.Robles (5-W), J.Diekman (1-H), G.Whitlock 
(2-S)"
12,2022-04-20,boxscore,BOS,,TOR,L,1,6,,45083,4.0,1,Berríos,Pivetta,,0.1298611111,N,33354,1.07,-,,39,37,1,10,3,0,0,1,0,0,1,9,0.232,0.285,0.377,0.662,13,0,1,0,0,0.0,0,0.357,11,10.0,José Berríos,R,57.0,2022,9.0,173.0,110.0,37.0,18.0,"N.Pivetta (4-28-L), P.Valdéz (1), M.Barnes (4), T.Danish (99)"
