Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-07,boxscore,CHC,,MIL,W,5,4,,1-0,1.0,Tied,Givens,Ashby,Robertson,0.1375,D,35112.0,1.0,+,,35,29,5,8,3,0,1,5,0,1,4,7,0.276,0.371,0.483,0.854,14,1,1,0,1,0.0,0,0.318,6,10.0,Corbin Burnes,R,48.0,2022,9.0,153.0,96.0,27.0,23.0,"K.Hendricks (99-58), D.Norris (99-H), C.Martin (99-BS), R.Wick (99-H), 
M.Givens (99-W), D.Robertson (99-S)"
2,2022-04-09,boxscore,CHC,,MIL,W,9,0,,2-0,1.0,Tied,Steele,Woodruff,,0.1444444444,D,30369.0,1.01,++,,44,33,9,10,1,0,0,8,0,0,7,8,0.29,0.418,0.403,0.821,11,0,3,0,1,0.0,0,0.385,11,11.0,Brandon Woodruff,R,20.0,2022,9.0,140.0,86.0,26.0,7.0,"J.Steele (99-63-W), K.Thompson (99), S.Effross (99), E.Roberts (99)"
3,2022-04-10,boxscore,CHC,,MIL,L,4,5,,44958,1.0,Tied,Cousins,Norris,Hader,0.1270833333,D,32858.0,1.07,-,,36,30,4,4,1,0,1,3,1,1,6,13,0.239,0.374,0.359,0.733,8,1,0,0,0,0.0,0,0.188,5,12.0,Freddy Peralta,R,46.0,2022,9.0,149.0,85.0,27.0,12.0,"M.Stroman (99-59), J.Chavez (99-BS), D.Norris (2-L), D.Robertson (2), 
M.Givens (2)"
4,2022-04-12,boxscore,CHC,@,PIT,W,2,1,,44986,1.0,Tied,Smyly,Quintana,Robertson,0.11875,D,34458.0,1.03,+,,34,32,2,8,1,0,2,2,0,1,2,9,0.242,0.356,0.387,0.743,15,2,0,0,0,0.0,0,0.286,5,10.0,Jose Quintana,L,55.0,2022,9.0,136.0,90.0,20.0,14.0,"D.Smyly (99-62-W), C.Martin (4-H), E.Roberts (2-H), M.Givens (1-H), 
D.Robertson (1-S)"
5,2022-04-13,boxscore,CHC,@,PIT,L,2,6,,44987,2.0,0.5,Peters,Hendricks,Crowe,0.1173611111,D,9122.0,1.05,-,,35,32,2,6,1,0,1,2,0,0,3,9,0.231,0.337,0.372,0.709,10,1,0,0,0,0.0,0,0.227,6,10.0,Zach Thompson,R,46.0,2022,8.0,139.0,83.0,25.0,14.0,"K.Hendricks (5-23-L), M.Rucker (99), R.Wick (5), S.Effross (3)"
6,2022-04-14,boxscore,CHC,@,COL,W,5,2,,45018,1.0,up 0.5,Thompson,Freeland,Givens,0.1263888889,N,24444.0,0.97,+,,36,33,5,10,3,0,1,4,0,0,2,4,0.243,0.341,0.392,0.732,16,4,1,0,0,1.0,0,0.321,4,11.0,Kyle Freeland,L,29.0,2022,9.0,161.0,99.0,28.0,11.0,"J.Steele (4-47), E.Roberts (1), K.Thompson (4-W), M.Givens (1-S)"
7,2022-04-15,boxscore,CHC,@,COL,L,5,6,,45019,2.0,0.5,Blach,Stroman,Bard,0.1430555556,N,35450.0,1.02,-,,44,37,5,13,6,0,0,5,0,0,6,7,0.261,0.356,0.412,0.768,19,1,0,0,1,0.0,1,0.419,12,13.0,Germán Márquez,R,29.0,2022,8.0,149.0,94.0,29.0,14.0,"M.Stroman (4-33-L), C.Martin (2), S.Effross (1), D.Norris (4)"
8,2022-04-16,boxscore,CHC,@,COL,L,6,9,,45020,2.0,1.5,Senzatela,Leiter,Bard,0.1236111111,N,37476.0,1.01,--,,39,37,6,13,4,1,0,6,0,0,1,4,0.274,0.358,0.426,0.783,19,2,0,1,0,1.0,0,0.394,6,9.0,Antonio Senzatela,R,51.0,2022,8.0,139.0,83.0,23.0,13.0,"M.Leiter (99-22-L), J.Chavez (5), E.Roberts (1), R.Wick (2)"
9,2022-04-17,boxscore,CHC,@,COL,W,6,4,,45050,2.0,0.5,Wick,Gomber,Robertson,0.1381944444,D,36391.0,0.95,+,,44,39,6,13,4,0,2,6,0,0,5,7,0.281,0.364,0.447,0.811,23,2,0,0,0,1.0,1,0.367,11,12.0,Austin Gomber,L,27.0,2022,9.0,159.0,101.0,26.0,16.0,"D.Smyly (4-59), S.Effross (1), M.Rucker (3), M.Givens (2-H), R.Wick (0-W), 
D.Robertson (4-S)"
10,2022-04-18,boxscore,CHC,,TBR,W,4,2,,45081,1.0,Tied,Thompson,Adam,Robertson,0.1131944444,N,26615.0,0.95,++,,32,30,4,7,0,0,2,4,0,0,1,12,0.277,0.357,0.446,0.803,13,1,1,0,0,1.0,0,0.313,4,13.0,Shane McClanahan,L,67.0,2022,9.0,144.0,86.0,24.0,24.0,"K.Hendricks (4-49), K.Thompson (3-W), D.Robertson (0-S)"
