Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-07,boxscore,CIN,@,ATL,W,6,3,,1-0,1.0,Tied,Mahle,Fried,Santillan,0.1256944444,N,40545.0,0.93,+,,38,35,6,10,0,0,1,6,0,0,1,13,0.286,0.316,0.371,0.687,13,1,1,0,1,0.0,0,0.409,5,9.0,Max Fried,L,37.0,2022
2,2022-04-08,boxscore,CIN,@,ATL,L,6,7,,44927,3.0,0.5,Morton,Sanmartin,,0.1298611111,N,40234.0,0.97,-,,37,32,6,6,1,0,0,6,0,0,3,7,0.239,0.293,0.299,0.592,7,0,1,0,1,0.0,0,0.231,4,9.0,Charlie Morton,R,60.0,2022
3,2022-04-09,boxscore,CIN,@,ATL,L,1,2,,44928,3.0,1.5,Wright,Gutierrez,Smith,0.1180555556,N,40310.0,0.93,--,,32,29,1,3,0,0,0,1,1,0,2,9,0.198,0.255,0.24,0.494,3,1,0,0,0,0.0,0,0.15,4,12.0,Kyle Wright,R,73.0,2022
4,2022-04-10,boxscore,CIN,@,ATL,W,6,3,,44959,3.0,0.5,Greene,Anderson,Warren,0.1347222222,D,38233.0,0.9,+,,40,34,6,7,2,0,1,6,1,0,6,10,0.2,0.274,0.269,0.543,12,0,0,0,0,0.0,0,0.261,7,10.0,Ian Anderson,R,28.0,2022
5,2022-04-12,boxscore,CIN,,CLE,L,5,10,,44960,3.0,1.5,Stephan,Strickland,,0.1458333333,D,43036.0,0.92,-,,32,29,5,5,3,0,1,4,0,0,3,8,0.195,0.27,0.289,0.559,11,2,0,0,0,0.0,0,0.2,0,10.0,Shane Bieber,R,54.0,2022
6,2022-04-13,boxscore,CIN,,CLE,L,3,7,,44961,5.0,2,Morgan,Lodolo,,0.1298611111,D,10976.0,0.85,--,,35,33,3,7,2,0,2,3,1,0,0,12,0.198,0.268,0.318,0.585,15,0,2,0,0,0.0,0,0.263,5,9.0,Triston McKenzie,R,62.0,2022
7,2022-04-14,boxscore,CIN,@,LAD,L,3,9,,44962,5.0,2.5,Treinen,Wilson,,0.1319444444,N,52995.0,0.87,---,,35,32,3,6,1,0,2,3,0,1,3,6,0.196,0.266,0.33,0.596,13,0,0,0,0,0.0,0,0.167,5,10.0,Walker Buehler,R,52.0,2022
8,2022-04-15,boxscore,CIN,@,LAD,L,1,3,,44963,5.0,3,Anderson,Gutierrez,Kimbrel,0.1354166667,N,51891.0,0.83,----,,36,32,1,5,1,0,0,1,1,0,3,6,0.191,0.264,0.313,0.577,6,0,1,0,0,0.0,0,0.192,8,10.0,Tony Gonsolin,R,55.0,2022
9,2022-04-16,boxscore,CIN,@,LAD,L,2,5,,44964,5.0,4,Phillips,Greene,Hudson,0.1201388889,N,51059.0,0.76,-----,,32,30,2,4,0,0,0,2,0,1,2,12,0.185,0.256,0.294,0.55,4,0,0,0,0,0.0,0,0.222,3,9.0,Julio Urías,L,69.0,2022
10,2022-04-17,boxscore,CIN,@,LAD,L,1,9,,44965,5.0,4,Heaney,Mahle,,0.1263888889,D,41167.0,0.71,------,,34,30,1,4,2,0,0,1,0,0,3,15,0.18,0.254,0.285,0.539,6,0,1,0,0,0.0,0,0.267,6,12.0,Andrew Heaney,L,78.0,2022
11,2022-04-18,boxscore,CIN,@,SDP,L,1,4,,44966,5.0,4.5,Manaea,Lodolo,Rogers,0.1180555556,N,31121.0,0.67,-------,,36,33,1,6,1,0,1,1,0,0,3,9,0.181,0.254,0.287,0.54,10,0,0,0,0,0.0,0,0.217,8,9.0,Sean Manaea,L,60.0,2022
12,2022-04-19,boxscore,CIN,@,SDP,L,2,6,,44967,5.0,5.5,Musgrove,Sanmartin,,0.1118055556,N,31313.0,0.61,--------,,34,32,2,5,1,0,1,2,0,0,2,9,0.178,0.25,0.286,0.536,9,0,0,0,0,0.0,0,0.182,5,15.0,Joe Musgrove,R,63.0,2022
13,2022-04-20,boxscore,CIN,@,SDP,L,0,6,,44968,5.0,6.5,Gore,Gutierrez,,0.1222222222,D,25359.0,0.56,---------,,33,31,0,5,0,0,0,0,0,0,2,13,0.177,0.247,0.277,0.524,5,0,0,0,0,0.0,0,0.278,6,12.0,MacKenzie Gore,L,64.0,2022
14,2022-04-22,boxscore,CIN,,STL,L,2,4,,44969,5.0,7,Matz,Greene,Gallegos,0.1381944444,N,20470.0,0.55,----------,,38,34,2,9,1,0,0,2,0,0,3,10,0.184,0.255,0.278,0.533,10,2,1,0,0,0.0,0,0.375,9,10.0,Steven Matz,L,53.0,2022
15,2022-04-23,boxscore,CIN,,STL,L,0,5,,44970,5.0,8,Hudson,Mahle,,0.1340277778,D,28598.0,0.49,-----------,,31,26,0,3,1,0,0,0,0,1,4,6,0.18,0.255,0.271,0.526,4,2,1,0,0,0.0,0,0.15,4,9.0,Dakota Hudson,R,70.0,2022
16,2022-04-24,boxscore,CIN,,STL,W,4,1,,44998,5.0,7,Lodolo,Wainwright,Sims,0.1159722222,D,23124.0,0.43,+,,32,27,4,8,2,0,0,4,0,1,4,5,0.186,0.262,0.277,0.538,10,2,0,0,1,0.0,0,0.348,4,9.0,Adam Wainwright,R,35.0,2022
17,2022-04-26,boxscore,CIN,,SDP,L,6,9,,44999,5.0,7.5,Musgrove,Sanmartin,,0.1326388889,N,10056.0,0.5,-,,36,34,6,8,3,0,1,5,0,0,1,8,0.189,0.261,0.285,0.547,14,0,0,0,0,0.0,0,0.28,3,9.0,Joe Musgrove,R,47.0,2022
18,2022-04-27,boxscore,CIN,,SDP,L,5,8,,45000,5.0,8.5,Gore,Gutierrez,Rogers,0.1444444444,N,9192.0,0.42,--,,43,36,5,10,4,0,2,5,0,0,4,14,0.195,0.268,0.302,0.57,20,0,1,0,1,0.0,0,0.381,11,13.0,MacKenzie Gore,L,61.0,2022
19,2022-04-28,boxscore,CIN,,SDP,L,5,7,,45001,5.0,9.5,Martinez,Mahle,Rogers,0.1493055556,D,10449.0,0.36,---,,38,34,5,8,2,0,0,5,0,0,4,7,0.197,0.271,0.302,0.572,10,3,0,0,0,1.0,0,0.296,6,14.0,Nick Martinez,R,52.0,2022
20,2022-04-29,boxscore,CIN,@,COL,L,4,10,,45002,5.0,10.5,Senzatela,Greene,,0.1423611111,N,30206.0,0.31,----,,40,34,4,12,3,0,0,4,0,0,4,3,0.206,0.279,0.309,0.589,15,4,1,0,1,0.0,0,0.375,9,12.0,Antonio Senzatela,R,54.0,2022
21,2022-04-30,boxscore,CIN,@,COL,L,3,4,,45003,5.0,11.5,Kuhl,Warren,Bard,0.1048611111,N,32179.0,0.28,-----,,31,31,3,5,0,0,2,2,0,0,0,8,0.204,0.274,0.311,0.586,11,1,0,0,0,0.0,0,0.143,1,9.0,Chad Kuhl,R,60.0,2022
22,2022-05-01,boxscore,CIN,@,COL,L,1,10,,45004,5.0,11.5,Freeland,Sanmartin,,0.1222222222,D,32574.0,0.24,------,,31,29,1,4,2,0,1,1,0,0,2,5,0.201,0.271,0.311,0.582,9,2,0,0,0,0.0,0,0.13,3,9.0,Kyle Freeland,L,68.0,2022
23,2022-05-03,boxscore,CIN,@,MIL,L,3,6,,45005,5.0,12.5,Woodruff,Mahle,Williams,0.1319444444,N,21961.0,0.25,-------,,33,33,3,6,2,0,2,3,0,0,0,16,0.2,0.267,0.316,0.584,14,0,0,0,0,0.0,0,0.267,3,11.0,Brandon Woodruff,R,61.0,2022
24,2022-05-04,boxscore,CIN,@,MIL,L,4,18,,45006,5.0,13.5,Peralta,Gutierrez,,0.1569444444,N,25413.0,0.21,--------,,38,33,4,7,1,1,0,4,1,0,3,12,0.201,0.267,0.316,0.583,10,0,0,0,2,0.0,0,0.304,7,10.0,Freddy Peralta,R,50.0,2022
25,2022-05-05,boxscore,CIN,@,MIL,L,5,10,,45007,5.0,14.5,Houser,Greene,,0.1284722222,D,21715.0,0.18,---------,,38,37,5,9,1,0,1,5,1,0,1,11,0.203,0.267,0.318,0.585,13,0,0,0,0,0.0,0,0.32,6,11.0,Adrian Houser,R,40.0,2022
26,2022-05-07,boxscore,CIN,,PIT,W,9,2,,45038,5.0,14.5,Sims,Crowe,,0.13125,D,9267.0,0.12,+,,39,31,9,8,4,0,0,9,0,0,5,11,0.205,0.272,0.32,0.592,12,1,2,0,1,1.0,0,0.381,6,10.0,JT Brubaker,R,60.0,2022
27,2022-05-07,boxscore,CIN,,PIT,L,5,8,,45039,5.0,14.5,Hembree,Moreta,Bednar,0.1569444444,N,21448.0,0.15,-,,40,33,5,7,3,0,1,5,0,0,6,10,0.205,0.275,0.323,0.598,13,0,1,0,0,0.0,0,0.273,8,10.0,Mitch Keller,R,31.0,2022
28,2022-05-08,boxscore,CIN,,PIT,W,7,3,,45069,5.0,13.5,Warren,Peters,,0.1256944444,D,17623.0,0.13,+,,37,31,7,6,1,0,2,7,1,0,4,9,0.204,0.277,0.326,0.603,13,0,2,0,0,1.0,0,0.2,6,10.0,Zach Thompson,R,69.0,2022
29,2022-05-09,boxscore,CIN,,MIL,W,10,5,,45100,5.0,12.5,Cessa,Woodruff,,0.1375,N,10046.0,0.18,++,,40,37,10,14,2,0,3,9,1,1,3,11,0.211,0.283,0.34,0.623,25,0,0,0,0,0.0,0,0.478,6,9.0,Brandon Woodruff,R,29.0,2022
30,2022-05-10,boxscore,CIN,,MIL,L,4,5,,45101,5.0,13.5,Peralta,Greene,Hader,0.1597222222,N,10445.0,0.2,-,,39,32,4,6,4,0,0,4,0,1,5,13,0.211,0.285,0.339,0.624,10,0,2,0,0,0.0,0,0.316,8,11.0,Freddy Peralta,R,64.0,2022
31,2022-05-11,boxscore,CIN,,MIL,W,14,11,,45131,5.0,12.5,Díaz,Houser,,0.1430555556,D,11851.0,0.15,+,,44,35,14,14,3,1,1,14,1,0,7,3,0.217,0.292,0.349,0.642,22,0,0,1,1,0.0,0,0.406,6,9.0,Adrian Houser,R,29.0,2022
32,2022-05-12,boxscore,CIN,@,PIT,W,4,0,,45162,5.0,12,Overton,Brubaker,,0.1194444444,N,9470.0,0.17,++,,39,36,4,9,2,0,1,4,2,0,3,9,0.218,0.293,0.351,0.644,14,0,0,0,0,0.0,0,0.308,8,9.0,JT Brubaker,R,52.0,2022
33,2022-05-13,boxscore,CIN,@,PIT,W,8,2,,45193,5.0,12,Mahle,Keller,,0.1263888889,N,12588.0,0.2,+++,,40,35,8,10,5,0,3,8,1,0,4,5,0.221,0.295,0.362,0.657,24,1,0,0,1,0.0,0,0.25,5,10.0,Mitch Keller,R,34.0,2022
34,2022-05-14,boxscore,CIN,@,PIT,L,1,3,,45194,5.0,12,Thompson,Castillo,Bednar,0.1208333333,N,12959.0,0.23,-,,34,30,1,4,0,0,0,1,2,0,4,7,0.218,0.293,0.355,0.649,4,1,0,0,0,0.0,0,0.174,6,10.0,Zach Thompson,R,70.0,2022
35,2022-05-15,boxscore,CIN,@,PIT,L,0,1,,45195,5.0,13,Stratton,Greene,Bednar,0.1069444444,D,10559.0,0.23,--,,32,30,0,4,1,0,0,0,0,0,2,6,0.216,0.291,0.35,0.641,5,0,0,0,0,0.0,0,0.167,5,10.0,Jose Quintana,L,75.0,2022
36,2022-05-17,boxscore,CIN,@,CLE,W,5,4,10.0,45225,5.0,12.5,Warren,Sandlin,Díaz,0.1402777778,N,12916.0,0.16,+,,42,34,5,9,0,0,1,5,2,0,6,8,0.217,0.294,0.351,0.645,12,5,2,0,0,0.0,0,0.32,8,9.0,Zach Plesac,R,53.0,2022
37,2022-05-19,boxscore,CIN,@,CLE,W,4,2,,45256,5.0,12.5,Cessa,Stephan,Santillan,0.1166666667,D,8510.0,0.19,++,,33,30,4,8,0,0,1,3,0,0,1,8,0.219,0.294,0.351,0.645,11,2,0,1,1,0.0,0,0.318,2,10.0,Cal Quantrill,R,68.0,2022
38,2022-05-20,boxscore,CIN,@,TOR,L,1,2,,45257,5.0,13.5,Ryu,Castillo,Romano,0.1125,N,29300.0,0.22,-,,35,34,1,8,5,0,0,1,1,0,0,7,0.219,0.293,0.352,0.645,13,1,1,0,0,0.0,0,0.296,7,11.0,Hyun Jin Ryu,L,63.0,2022
39,2022-05-21,boxscore,CIN,@,TOR,L,1,3,,45258,5.0,14.5,Manoah,Cessa,Romano,0.09652777778,D,39393.0,0.19,--,,32,32,1,7,3,0,0,1,0,1,0,7,0.219,0.291,0.351,0.642,10,0,0,0,0,0.0,0,0.28,4,9.0,Alek Manoah,R,68.0,2022
