Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-03-27,boxscore,CLE,@,KCR,W,7,4,10.0,1-0,1.0,Tied,Clase,Long,Sewald,02:41:00,D,39393.0,1.01,+,,37,33,1,7,1,0,0,1,1,0,4,5,0.212,0.297,0.242,0.54,8,1,0,0,0,0.0,0,0.25,9,11.0,Zack Greinke,R,55.0,2022,8.0,123.0,74.0,18.0,12.0,"S.Bieber (99-62), B.Shaw (99), T.McKenzie (99-L)"
2,2022-03-29,boxscore,CLE,@,KCR,L,3,4,,2025-01-01 00:00:00,1.0,Tied,Lynch,Sewald,Estévez,02:26:00,D,22019.0,1.05,-,,35,33,0,5,1,0,0,0,0,0,1,10,0.182,0.25,0.212,0.462,6,2,1,0,0,0.0,0,0.217,6,12.0,Brad Keller,R,72.0,2022,9.0,126.0,84.0,16.0,15.0,"Z.Plesac (99-66), B.Shaw (1), N.Sandlin (99), T.Stephan (99), A.Gose (99), 
E.Clase (99-L)"
3,2022-03-30,boxscore,CLE,@,KCR,W,6,2,,2025-02-01 00:00:00,1.0,up 1.0,Bibee,Wacha,,03:07:00,D,15414.0,0.99,+,,53,48,17,22,3,2,2,17,0,0,4,10,0.298,0.36,0.43,0.79,35,1,1,0,0,0.0,0,0.556,9,12.0,Kris Bubic,L,24.0,2022,9.0,124.0,85.0,16.0,16.0,"C.Quantrill (99-52-W), E.Morgan (99), S.Hentges (99), A.Castro (99)"
4,2022-03-31,boxscore,CLE,@,SDP,L,2,7,,2025-02-02 00:00:00,1.0,Tied,Hart,Ortiz,,02:35:00,N,43404.0,0.96,-,,44,38,10,13,2,1,1,9,1,0,5,6,0.309,0.375,0.454,0.829,20,1,0,1,0,0.0,0,0.387,7,10.0,Carlos Hernández,R,34.0,2022,9.0,154.0,96.0,21.0,17.0,"A.Civale (99-40), T.Stephan (1), L.Allen (99-W), B.Shaw (1-H), N.Sandlin 
(1-H), E.Clase (1)"
5,2022-04-01,boxscore,CLE,@,SDP,L,0,7,,2025-02-03 00:00:00,1.0,Tied,King,Allen,,02:32:00,N,37120.0,0.94,--,,42,35,10,11,3,2,2,10,1,3,5,8,0.31,0.381,0.497,0.878,24,0,1,0,1,0.0,0,0.346,5,9.0,Tyler Mahle,R,38.0,2022,9.0,143.0,89.0,21.0,16.0,"S.Bieber (4-54), A.Gose (2-BS), A.Castro (1), T.Stephan (0-W), S.Hentges (1)"
6,2022-04-02,boxscore,CLE,@,SDP,L,2,5,,2025-02-04 00:00:00,1.0,Tied,Cease,Lively,Suarez,02:26:00,D,35858.0,0.9,---,,46,40,7,13,2,0,4,7,1,0,4,10,0.313,0.387,0.529,0.915,27,0,2,0,0,0.0,0,0.346,12,10.0,Nick Lodolo,L,29.0,2022,9.0,151.0,107.0,18.0,23.0,"T.McKenzie (5-62), E.Morgan (2-W), N.Sandlin (1), E.Clase (1)"
7,2022-04-04,boxscore,CLE,@,LAA,W,8,6,,2025-03-04 00:00:00,1.0,Tied,Herrin,Soriano,,03:14:00,N,44749.0,0.95,+,,32,28,1,3,2,0,0,1,0,0,2,10,0.29,0.365,0.49,0.855,5,1,1,0,1,0.0,0,0.158,4,9.0,Carlos Rodón,L,76.0,2022,9.0,146.0,93.0,32.0,18.0,"Z.Plesac (5-49-L), T.Stephan (2), A.Gose (2), B.Shaw (3), A.Castro (2), 
S.Hentges (2), K.Pilkington (99)"
8,2022-04-05,boxscore,CLE,@,LAA,L,4,10,,2025-03-05 00:00:00,2.0,1,Kochanowicz,Bibee,,02:36:00,N,41128.0,0.97,-,,37,33,2,8,2,1,0,2,1,0,3,7,0.285,0.357,0.476,0.833,12,0,0,0,1,0.0,0,0.296,8,11.0,Anthony DeSclafani,R,50.0,2022,9.0,178.0,102.0,30.0,17.0,"C.Quantrill (5-51), L.Allen (4), T.Stephan (0), N.Sandlin (2-L), S.Hentges 
(0)"
9,2022-04-06,boxscore,CLE,@,LAA,L,2,6,,2025-03-06 00:00:00,3.0,2,Zeferjahn,Ortiz,,02:20:00,D,41480.0,0.94,--,,34,31,1,6,1,0,0,1,0,0,3,6,0.276,0.348,0.451,0.8,7,1,0,0,0,0.0,0,0.24,6,11.0,Alex Wood,L,62.0,2022,9.0,164.0,109.0,32.0,18.0,"A.Civale (5-44-L), A.Gose (1), E.Morgan (3), A.Castro (1), K.Pilkington (1)"
10,2022-04-08,boxscore,CLE,,CHW,W-wo,1,0,,2025-04-06 00:00:00,3.0,2.5,Clase,Clevinger,,02:30:00,D,33722.0,0.9,+,,40,37,11,11,0,0,1,11,0,0,3,5,0.278,0.348,0.444,0.792,14,1,0,0,0,3.0,0,0.323,5,11.0,Dallas Keuchel,L,-2.0,2022,9.0,123.0,87.0,16.0,27.0,"S.Bieber (7-67-W), B.Shaw (4), E.De Los Santos (99), S.Hentges (3)"
