Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,CHW,@,DET,L-wo,4,5,,0-1,3,1,Soto,Hendriks,,0.1458333333,D,43480.0,1.01,-,,37,34,4,8,3,0,1,4,0,0,3,3,0.235,0.297,0.412,0.709,14,1,0,0,0,0,0,0.233,6,9,Eduardo Rodríguez,L,42,2022,8.2,157,92,28,24,"L.Giolito (99-64), B.Sousa (99), K.Crick (99-H), K.Graveman (99-H), A.Bummer 
(99-H), L.Hendriks (99-BL)"
2,2022-04-09,boxscore,CHW,@,DET,W,5,2,,44927,2,1,Cease,Mize,Bummer,0.1326388889,D,17469.0,0.95,+,,37,36,5,10,2,1,1,5,1,0,0,5,0.257,0.288,0.443,0.731,17,0,0,1,0,0,0,0.3,5,11,Casey Mize,R,39,2022,9.0,150,89,24,22,"D.Cease (99-64-W), R.López (99), B.Sousa (0-H), J.Ruiz (99-H), A.Bummer 
(0-S)"
3,2022-04-10,boxscore,CHW,@,DET,W,10,1,,44958,1,Tied,Crick,Skubal,,0.1222222222,D,15712.0,0.99,++,,43,39,10,13,5,0,1,10,1,0,3,6,0.284,0.319,0.477,0.796,21,0,0,0,1,1,0,0.364,6,9,Tarik Skubal,L,32,2022,9.0,134,84,24,10,"M.Kopech (99-55), K.Crick (1-W), M.Foster (99), K.Graveman (1), T.Banks (99)"
4,2022-04-12,boxscore,CHW,,SEA,W,3,2,,44986,1,up 0.5,López,Brash,Hendriks,0.1402777778,D,36948.0,1.01,+++,,33,30,3,6,0,0,1,3,2,0,3,9,0.266,0.309,0.439,0.748,9,0,0,0,0,0,0,0.25,6,11,Matt Brash,R,57,2022,9.0,150,90,28,16,"V.Velasquez (99-53), B.Sousa (2), R.López (2-W), A.Bummer (2-H), K.Graveman 
(1-H), L.Hendriks (3-S)"
5,2022-04-13,boxscore,CHW,,SEA,W,6,4,,45017,1,up 0.5,Keuchel,Ray,Hendriks,0.1208333333,N,12291.0,1.06,++++,,36,32,6,10,1,0,3,6,0,0,4,6,0.275,0.324,0.474,0.798,20,2,0,0,0,0,0,0.304,6,11,Robbie Ray,L,31,2022,9.0,149,102,27,17,"D.Keuchel (99-48-W), K.Crick (2-H), J.Ruiz (3-H), K.Graveman (0-H), 
L.Hendriks (0-S)"
6,2022-04-14,boxscore,CHW,,SEA,L,1,5,,45018,1,Tied,Gilbert,Lambert,,0.1256944444,D,13391.0,1.08,-,,33,32,1,4,0,0,0,1,0,0,1,9,0.251,0.298,0.419,0.717,4,0,0,0,0,1,0,0.174,5,9,Logan Gilbert,R,61,2022,9.0,172,99,24,19,"J.Lambert (99-47-L), T.Banks (3), M.Foster (3), B.Sousa (1), J.Ruiz (0), 
A.Severino (99)"
7,2022-04-15,boxscore,CHW,,TBR,W,3,2,,45048,1,up 1.0,Cease,Rasmussen,Hendriks,0.11875,N,19009.0,1.02,+,,30,30,3,6,2,0,1,2,1,0,0,6,0.245,0.286,0.412,0.698,11,0,0,0,0,0,0,0.217,3,10,Drew Rasmussen,R,47,2022,9.0,141,98,25,23,"D.Cease (5-65-W), A.Bummer (2-H), K.Graveman (1-H), L.Hendriks (1-S)"
8,2022-04-16,boxscore,CHW,,TBR,W,3,2,,45079,1,up 2.0,López,Thompson,Hendriks,0.1180555556,D,27113.0,1.1,++,,32,32,3,7,1,0,1,3,1,0,0,6,0.242,0.279,0.404,0.682,11,0,0,0,0,1,0,0.24,5,10,Corey Kluber,R,55,2022,9.0,159,94,26,24,"M.Kopech (5-66), R.López (3-BW), J.Ruiz (1-H), B.Sousa (1-H), L.Hendriks 
(0-S)"
9,2022-04-17,boxscore,CHW,,TBR,L,3,9,,45080,1,up 2.0,Mazza,Velasquez,,0.1493055556,D,17798.0,1.11,-,,35,29,3,3,0,0,1,2,3,0,5,9,0.228,0.276,0.384,0.661,6,0,1,0,0,0,0,0.105,5,9,J.P. Feyereisen,R,59,2022,9.0,161,99,26,19,"V.Velasquez (4-42-L), T.Banks (2), M.Foster (2), A.Severino (2), K.Crick (3)"
10,2022-04-20,boxscore,CHW,@,CLE,L,1,11,,45081,1,Tied,Bieber,Keuchel,,0.1118055556,D,,1.14,--,,32,31,1,5,1,0,0,1,0,0,1,10,0.222,0.268,0.366,0.634,6,0,0,0,0,0,0,0.238,4,11,Shane Bieber,R,67,2022,8.0,147,97,24,15,"D.Keuchel (6--2-L), T.Banks (2), M.Foster (2), A.Severino (2)"
