Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,DET,,CHW,W-wo,5,4,,1-0,1.0,Tied,Soto,Hendriks,,0.1458333333,D,43480.0,1.0,+,,39,33,5,8,1,1,1,5,0,0,4,11,0.242,0.359,0.424,0.783,14,0,2,0,0,0.0,0,0.333,8.0,11.0,Lucas Giolito,R,64.0,2022
2,2022-04-09,boxscore,DET,,CHW,L,2,5,,44927,2.0,1,Cease,Mize,Bummer,0.1326388889,D,17469.0,1.01,-,,36,31,2,7,1,0,0,2,0,0,5,12,0.234,0.347,0.344,0.69,8,3,0,0,0,0.0,0,0.368,7.0,10.0,Dylan Cease,R,64.0,2022
3,2022-04-10,boxscore,DET,,CHW,L,1,10,,44928,3.0,1,Crick,Skubal,,0.1222222222,D,15712.0,1.03,--,,32,28,1,2,0,1,0,1,0,1,4,8,0.185,0.299,0.283,0.582,4,0,0,0,0,0.0,0,0.1,4.0,11.0,Michael Kopech,R,55.0,2022
4,2022-04-11,boxscore,DET,,BOS,W,3,1,,44959,2.0,0.5,Fulmer,Davis,Soto,0.1180555556,N,11840.0,0.88,+,,35,31,3,8,2,0,1,3,0,0,3,10,0.203,0.303,0.317,0.62,13,0,0,0,1,0.0,0,0.333,8.0,12.0,Michael Wacha,R,56.0,2022
5,2022-04-12,boxscore,DET,,BOS,L,3,5,,44960,3.0,1.5,Whitlock,Lange,,0.1173611111,D,15781.0,0.97,-,,33,31,3,5,3,0,0,3,0,0,2,6,0.195,0.286,0.305,0.591,8,0,0,0,0,0.0,0,0.2,3.0,10.0,Rich Hill,L,44.0,2022
6,2022-04-13,boxscore,DET,,BOS,L,7,9,,44961,4.0,2.5,Eovaldi,Rodriguez,Robles,0.1604166667,D,10522.0,0.89,--,,42,38,7,11,1,0,3,7,0,0,3,12,0.214,0.3,0.354,0.654,21,0,1,0,0,0.0,0,0.348,8.0,11.0,Nathan Eovaldi,R,56.0,2022
7,2022-04-14,boxscore,DET,@,KCR,W,4,2,,44989,3.0,1.5,Jiménez,Brentz,Soto,0.1319444444,N,9595.0,0.9,+,,36,32,4,9,0,0,0,4,0,0,2,5,0.223,0.304,0.344,0.648,9,2,1,0,1,0.0,0,0.321,5.0,10.0,Zack Greinke,R,49.0,2022
8,2022-04-15,boxscore,DET,@,KCR,W,2,1,,45020,3.0,1.5,Barnes,Keller,Fulmer,0.09583333333,N,16720.0,0.93,++,,32,30,2,3,1,0,1,2,0,0,2,7,0.209,0.288,0.331,0.618,7,0,0,0,0,0.0,0,0.091,3.0,9.0,Brad Keller,R,66.0,2022
9,2022-04-16,boxscore,DET,@,KCR,L,1,3,,45021,3.0,2.5,Snider,Vest,Staumont,0.1263888889,D,19022.0,0.98,-,,36,29,1,4,2,0,0,1,1,0,7,10,0.201,0.29,0.318,0.608,6,2,0,0,0,0.0,0,0.211,8.0,10.0,Kris Bubic,L,53.0,2022
10,2022-04-19,boxscore,DET,,NYY,L,2,4,,45022,4.0,2.5,Schmidt,Alexander,Chapman,0.1659722222,N,15498.0,0.96,--,,39,29,2,4,0,0,0,2,0,0,8,11,0.196,0.294,0.301,0.596,4,1,1,0,1,0.0,0,0.211,10.0,11.0,Gerrit Cole,R,43.0,2022
11,2022-04-20,boxscore,DET,,NYY,L,3,5,,45023,4.0,2,Green,Hutchison,Chapman,0.1291666667,N,17268.0,0.86,---,,38,35,3,11,2,0,0,3,0,1,3,8,0.207,0.302,0.308,0.61,13,1,0,0,0,0.0,0,0.407,8.0,11.0,Luis Severino,R,50.0,2022
12,2022-04-21,boxscore,DET,,NYY,W,3,0,,45053,4.0,2,Pineda,Montgomery,Soto,0.1069444444,D,21529.0,0.84,+,,33,29,3,7,3,0,0,3,0,1,4,5,0.21,0.304,0.311,0.615,10,1,0,0,0,0.0,1,0.292,6.0,9.0,Jordan Montgomery,L,65.0,2022
13,2022-04-23,boxscore,DET,,COL,W,13,0,,45084,3.0,1,Skubal,Senzatela,,0.1263888889,D,37566.0,0.82,++,,45,42,13,20,1,0,1,13,0,0,3,7,0.237,0.324,0.337,0.661,24,1,0,0,0,0.0,0,0.559,8.0,11.0,Antonio Senzatela,R,30.0,2022
14,2022-04-23,boxscore,DET,,COL,L,2,3,,45085,3.0,1,Gomber,Brieske,Colomé,0.1159722222,N,28635.0,0.84,-,,36,33,2,6,0,1,0,2,1,0,3,11,0.233,0.318,0.33,0.649,8,0,0,0,0,0.0,0,0.273,7.0,12.0,Austin Gomber,L,72.0,2022
15,2022-04-24,boxscore,DET,,COL,L,2,6,,45086,3.0,1.5,Kuhl,Alexander,,0.1215277778,D,20088.0,0.84,--,,36,33,2,7,1,0,0,2,0,0,3,6,0.231,0.316,0.324,0.64,8,1,0,0,0,0.0,0,0.259,7.0,9.0,Chad Kuhl,R,62.0,2022
16,2022-04-26,boxscore,DET,@,MIN,L-wo,4,5,,45087,4.0,2.5,Jax,Soto,,0.1284722222,N,11803.0,0.89,---,,37,33,4,8,2,0,1,4,0,0,4,10,0.232,0.316,0.329,0.645,13,2,0,0,0,0.0,0,0.318,6.0,10.0,Chris Paddack,R,60.0,2022
17,2022-04-27,boxscore,DET,@,MIN,L,0,5,,45088,5.0,3.5,Ryan,Pineda,,0.09930555556,N,11829.0,0.86,----,,30,29,0,2,1,0,0,0,0,0,1,10,0.223,0.306,0.317,0.623,3,0,0,0,0,0.0,0,0.105,3.0,12.0,Joe Ryan,R,83.0,2022
18,2022-04-28,boxscore,DET,@,MIN,L,1,7,,45089,5.0,4.5,Stashak,Skubal,Jax,0.13125,D,19365.0,0.76,-----,,40,36,1,11,0,0,0,1,0,0,3,6,0.229,0.31,0.316,0.626,11,1,1,0,0,0.0,0,0.367,12.0,9.0,Bailey Ober,R,46.0,2022
