Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-07,boxscore,KCR,,CLE,W,3,1,,1-0,1,up 0.5,Barlow,McKenzie,,0.1173611111,D,28459.0,1.01,+,,31,28,3,4,2,0,0,3,0,1,2,6,0.143,0.2,0.214,0.414,6,0,0,1,0,2,0,0.182,4,9,Shane Bieber,R,62,2022,9.0,152,97,31,10,"Z.Greinke (99-55), J.Brentz (99), J.Staumont (99), S.Barlow (99-W)"
2,2022-04-09,boxscore,KCR,,CLE,W-wo,1,0,10.0,2-0,1,up 1.0,Snider,Clase,,0.1173611111,D,17103.0,1.04,++,,34,32,1,6,0,0,0,1,1,0,2,3,0.167,0.219,0.2,0.419,6,1,0,0,0,0,0,0.207,7,12,Zach Plesac,R,66,2022,10.0,130,84,17,21,"B.Keller (99-72), D.Coleman (99), A.Garrett (99), T.Clarke (99), J.Staumont 
(1), C.Snider (99-W)"
3,2022-04-10,boxscore,KCR,,CLE,L,3,17,,44958,1,Tied,Quantrill,Bubic,,0.13125,D,20165.0,1.07,-,,36,34,3,7,2,0,0,3,0,0,1,6,0.181,0.23,0.223,0.453,9,0,1,0,0,0,0,0.25,6,13,Cal Quantrill,R,52,2022,9.0,194,125,38,13,"K.Bubic (99-24-L), T.Clarke (0), J.Kowar (99), G.Speier (99), B.Singer (99)"
4,2022-04-11,boxscore,KCR,,CLE,L,7,10,,44959,2,0.5,Allen,Brentz,,0.1506944444,D,8971.0,1.0,--,,42,35,7,9,0,0,1,6,3,0,5,7,0.202,0.275,0.256,0.53,12,2,2,0,0,0,0,0.296,8,9,Aaron Civale,R,40,2022,9.0,172,103,27,19,"C.Hernández (99-34), C.Snider (1), D.Coleman (1), J.Brentz (3-L), J.Staumont 
(1), S.Barlow (3), T.Clarke (0), J.Payamps (99)"
5,2022-04-12,boxscore,KCR,@,STL,L,5,6,,44960,3,1.5,Hicks,Lynch,Gallegos,0.1083333333,N,40398.0,0.88,---,,36,34,5,8,1,0,3,5,1,0,2,6,0.209,0.275,0.313,0.588,18,1,0,0,0,0,0,0.2,4,10,Dakota Hudson,R,44,2022,8.0,121,84,25,16,"D.Lynch (99-31-L), J.Payamps (0), A.Garrett (2), D.Coleman (0)"
6,2022-04-14,boxscore,KCR,,DET,L,2,4,,44961,4,2,Jiménez,Brentz,Soto,0.1319444444,N,9595.0,0.93,----,,37,34,2,7,0,2,0,2,3,0,3,6,0.208,0.274,0.315,0.589,11,0,0,0,0,0,0,0.25,8,10,Casey Mize,R,47,2022,9.0,146,89,25,11,"Z.Greinke (6-49), C.Snider (2), J.Brentz (2-L), D.Coleman (1), T.Clarke (2)"
7,2022-04-15,boxscore,KCR,,DET,L,1,2,,44962,5,3,Barnes,Keller,Fulmer,0.09583333333,N,16720.0,0.89,-----,,33,33,1,5,1,0,0,1,0,0,0,11,0.2,0.258,0.296,0.554,6,0,0,0,0,1,0,0.227,5,9,Tarik Skubal,L,66,2022,9.0,102,73,16,12,"B.Keller (5-66-L), J.Staumont (3), S.Barlow (3)"
8,2022-04-16,boxscore,KCR,,DET,W,3,1,,44990,4,3,Snider,Vest,Staumont,0.1263888889,D,19022.0,0.84,+,,33,31,3,8,0,0,1,3,0,0,2,6,0.207,0.263,0.303,0.566,11,0,0,0,0,0,0,0.292,6,9,Matt Manning,R,44,2022,9.0,157,94,27,18,"K.Bubic (5-53), C.Snider (1-W), D.Coleman (1-H), S.Barlow (0-H), J.Staumont 
(0-S)"
9,2022-04-19,boxscore,KCR,,MIN,W,4,3,,45021,2,2,Garrett,Duffey,Staumont,0.1291666667,N,10003.0,0.86,++,,34,31,4,9,2,0,3,4,0,0,3,7,0.216,0.273,0.339,0.612,20,1,0,0,0,0,0,0.286,6,9,Chris Archer,R,49,2022,9.0,150,92,20,14,"C.Hernández (7-34), A.Garrett (6-W), J.Brentz (4-H), C.Snider (2-H), 
S.Barlow (2-H), J.Staumont (2-S)"
10,2022-04-20,boxscore,KCR,,MIN,W,2,0,,45051,3,0.5,Lynch,Paddack,Barlow,0.1034722222,N,8969.0,0.94,+++,,29,29,2,6,1,0,0,1,0,0,0,8,0.215,0.267,0.33,0.598,7,1,0,0,0,0,0,0.286,3,9,Chris Paddack,R,53,2022,9.0,135,84,23,15,"D.Lynch (7-60-W), C.Snider (0-H), J.Brentz (0-H), J.Staumont (0-H), S.Barlow 
(0-S)"
11,2022-04-21,boxscore,KCR,,MIN,L,0,1,,45052,3,1.5,Ryan,Greinke,Pagán,0.1131944444,D,15540.0,0.99,-,,30,28,0,3,1,1,0,0,0,1,2,8,0.206,0.259,0.321,0.58,6,0,0,0,0,0,0,0.15,3,9,Joe Ryan,R,72,2022,9.0,149,91,23,11,"Z.Greinke (6-51-L), G.Speier (10), T.Clarke (6), D.Coleman (4)"
12,2022-04-22,boxscore,KCR,@,SEA,L,1,4,,45053,3,1.5,Flexen,Keller,Muñoz,0.1125,N,24206.0,0.94,--,,33,32,1,8,1,0,1,1,0,0,1,6,0.21,0.26,0.325,0.586,12,3,0,0,0,0,0,0.28,5,9,Chris Flexen,R,66,2022,8.0,138,88,15,14,"B.Keller (6-40-L), G.Speier (0), B.Singer (11), J.Payamps (9)"
