Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,LAD,@,COL,W,5,3,,1-0,1.0,Tied,Buehler,Freeland,Kimbrel,0.13125,D,48627.0,1.0,+,,41,36,5,8,2,0,0,4,0,0,4,11,0.222,0.317,0.278,0.595,10,0,1,0,0,0.0,0,0.32,9,9.0,Kyle Freeland,L,35.0,2022.0
1,2022-04-08 00:00:00,boxscore,LAD,@,COL,W,5,3,,1-0,1.0,Tied,Buehler,Freeland,Kimbrel,0.13125,D,48627.0,1.0,+,,41,36,5,8,2,0,0,4,0,0,4,11,0.222,0.317,0.278,0.595,10,0,1,0,0,0.0,0,0.32,9,9.0,Kyle Freeland,L,35.0,2022.0
1,2022-04-08 00:00:00,boxscore,LAD,@,COL,W,5,3,,1-0,1.0,Tied,Buehler,Freeland,Kimbrel,0.13125,D,48627.0,1.0,+,,41,36,5,8,2,0,0,4,0,0,4,11,0.222,0.317,0.278,0.595,10,0,1,0,0,0.0,0,0.32,9,9.0,Kyle Freeland,L,35.0,2022.0
2,2022-04-09,boxscore,LAD,@,COL,L,2,3,,44927,2.0,0.5,Estévez,Treinen,Bard,0.1166666667,N,48087.0,1.03,-,,34,34,2,7,0,0,1,2,0,0,0,9,0.214,0.267,0.286,0.552,10,0,0,0,0,0.0,0,0.25,5,9.0,Germán Márquez,R,72.0,2022.0
2,2022-04-09 00:00:00,boxscore,LAD,@,COL,L,2,3,,44927,2.0,0.5,Estévez,Treinen,Bard,0.1166666667,N,48087.0,1.03,-,,34,34,2,7,0,0,1,2,0,0,0,9,0.214,0.267,0.286,0.552,10,0,0,0,0,0.0,0,0.25,5,9.0,Germán Márquez,R,72.0,2022.0
2,2022-04-09 00:00:00,boxscore,LAD,@,COL,L,2,3,,44927,2.0,0.5,Estévez,Treinen,Bard,0.1166666667,N,48087.0,1.03,-,,34,34,2,7,0,0,1,2,0,0,0,9,0.214,0.267,0.286,0.552,10,0,0,0,0,0.0,0,0.25,5,9.0,Germán Márquez,R,72.0,2022.0
3,2022-04-10,boxscore,LAD,@,COL,L,4,9,,44928,4.0,1.5,Chacín,Urías,Blach,0.1340277778,D,40825.0,1.01,--,,38,35,4,10,1,0,0,1,0,0,2,7,0.238,0.283,0.295,0.578,11,1,0,0,1,1.0,0,0.345,7,10.0,Antonio Senzatela,R,31.0,2022.0
3,2022-04-10 00:00:00,boxscore,LAD,@,COL,L,4,9,,44928,4.0,1.5,Chacín,Urías,Blach,0.1340277778,D,40825.0,1.01,--,,38,35,4,10,1,0,0,1,0,0,2,7,0.238,0.283,0.295,0.578,11,1,0,0,1,1.0,0,0.345,7,10.0,Antonio Senzatela,R,31.0,2022.0
3,2022-04-10 00:00:00,boxscore,LAD,@,COL,L,4,9,,44928,4.0,1.5,Chacín,Urías,Blach,0.1340277778,D,40825.0,1.01,--,,38,35,4,10,1,0,0,1,0,0,2,7,0.238,0.283,0.295,0.578,11,1,0,0,1,1.0,0,0.345,7,10.0,Antonio Senzatela,R,31.0,2022.0
4,2022-04-12,boxscore,LAD,@,MIN,W,7,2,,44959,4.0,1.5,Hudson,Pagán,,0.1666666667,N,16732.0,0.85,+,,45,35,7,9,3,1,0,7,3,0,9,10,0.243,0.316,0.321,0.638,14,0,0,0,1,0.0,0,0.346,11,9.0,Chris Archer,R,61.0,2022.0
