Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,MIA,@,SFG,L-wo,5,6,10.0,0-1,4,1.5,Alvarez,Bass,,0.1430555556,D,40853.0,0.96,-,,42,39,5,9,0,0,2,5,0,0,3,6,0.231,0.286,0.385,0.67,15,1,0,0,0,1,0,0.226,8,12,Logan Webb,R,60,2022,9.2,151,87,26,9,"S.Alcantara (99-50), T.Scott (99), C.Sulser (99), R.Bleier (99), L.Head 
(99), A.Bender (99-BS), A.Bass (99-L)"
2,2022-04-09,boxscore,MIA,@,SFG,W,2,1,,44927,4,1.5,Okert,McGee,Bender,0.1229166667,D,38885.0,0.91,+,,35,32,2,5,2,0,0,1,0,0,3,14,0.197,0.26,0.31,0.57,7,1,0,0,0,1,0,0.278,6,10,Carlos Rodón,L,67,2022,9.0,131,96,31,25,"P.López (99-62), S.Okert (99-W), C.Sulser (0-H), R.Bleier (0-H), A.Bender 
(0-S)"
3,2022-04-10,boxscore,MIA,@,SFG,L,2,3,,44928,4,1.5,García,Rogers,Leone,0.1131944444,D,37332.0,0.94,-,,37,34,2,11,1,0,0,2,0,0,1,9,0.238,0.289,0.324,0.613,12,1,1,0,1,0,0,0.423,8,11,Anthony DeSclafani,R,41,2022,8.0,106,70,19,9,"T.Rogers (99-47-L), S.Armstrong (99), A.Bass (1), S.Okert (0)"
4,2022-04-11,boxscore,MIA,@,LAA,L,2,6,,44929,5,2,Lorenzen,Hernández,,0.1125,N,20480.0,0.85,--,,30,30,2,3,1,0,2,2,0,0,0,11,0.207,0.25,0.326,0.576,10,0,0,0,0,0,0,0.059,1,9,Michael Lorenzen,R,71,2022,8.0,145,85,16,16,"E.Hernández (99-41-L), C.Poteet (99), T.Scott (2), S.Armstrong (0)"
5,2022-04-12,boxscore,MIA,@,LAA,L-wo,3,4,,44930,5,2.5,Iglesias,Bender,,0.1243055556,D,16132.0,0.81,---,,38,31,3,5,0,0,1,2,0,1,7,8,0.199,0.264,0.313,0.577,8,1,0,0,0,1,0,0.182,8,10,Patrick Sandoval,L,57,2022,8.1,131,75,26,20,"J.Luzardo (99-70), T.Scott (0), A.Bass (1), C.Sulser (2), A.Bender (2-L)"
6,2022-04-14,boxscore,MIA,,PHI,W,4,3,,44961,3,2.5,Alcantara,Gibson,Bender,0.1409722222,N,31184.0,0.87,+,,34,29,4,6,1,1,1,4,0,0,5,8,0.2,0.273,0.328,0.601,12,1,0,0,0,0,0,0.25,6,11,Kyle Gibson,R,41,2022,9.0,134,93,17,21,"S.Alcantara (5-55-W), S.Okert (3-H), A.Bass (1-H), C.Sulser (1-H), A.Bender 
(1-S)"
7,2022-04-15,boxscore,MIA,,PHI,W,7,1,,44989,2,2.5,López,Eflin,,0.1354166667,N,11990.0,0.93,++,,39,32,7,11,4,2,0,7,1,0,4,8,0.22,0.294,0.366,0.66,19,0,1,0,2,0,0,0.423,8,10,Zach Eflin,R,37,2022,9.0,160,105,29,21,"P.López (5-60-W), L.Head (6), R.Bleier (5), S.Armstrong (3), D.Castano (99)"
8,2022-04-16,boxscore,MIA,,PHI,L,3,10,,44990,4,2.5,Suárez,Rogers,,0.1409722222,N,13412.0,0.96,-,,37,33,3,8,2,0,2,3,0,0,4,7,0.223,0.298,0.381,0.679,16,2,0,0,0,0,0,0.25,7,11,Ranger Suárez,L,48,2022,9.0,200,130,23,30,"T.Rogers (5-18-L), C.Poteet (4), S.Armstrong (0), T.Scott (3), S.Okert (1), 
D.Castano (0)"
9,2022-04-17,boxscore,MIA,,PHI,W,11,3,,45021,2,2.5,Hernández,Wheeler,,0.1472222222,D,11476.0,0.93,+,,48,37,11,13,1,2,0,11,0,0,6,8,0.239,0.324,0.394,0.717,18,0,4,0,1,1,1,0.433,13,9,Zack Wheeler,R,15,2022,9.0,148,101,25,17,"E.Hernández (5-62-W), C.Sulser (2), A.Bass (2), L.Head (1)"
10,2022-04-19,boxscore,MIA,,STL,L,1,5,,45022,4,4,Wainwright,Luzardo,,0.1277777778,N,8475.0,0.88,-,,36,34,1,8,1,0,1,1,0,0,2,10,0.239,0.319,0.39,0.709,12,0,0,0,0,0,0,0.304,8,11,Adam Wainwright,R,59,2022,9.0,150,96,23,15,"J.Luzardo (6-32-L), S.Armstrong (2), L.Head (1), S.Okert (2), T.Scott (2)"
