Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-07,boxscore,MIL,@,CHC,L,4,5,,0-1,4.0,1,Givens,Ashby,Robertson,0.1375,D,35112.0,0.98,-,,40,33,4,10,4,0,0,4,1,0,4,9,0.303,0.375,0.424,0.799,14,2,1,0,2,0.0,0,0.385,9,12.0,Kyle Hendricks,R,58.0,2022,8.0,151.0,88.0,28.0,17.0,"C.Burnes (99-48), A.Ashby (99-L), J.Cousins (99)"
2,2022-04-09,boxscore,MIL,@,CHC,L,0,9,,0-2,4.0,2,Steele,Woodruff,,0.1444444444,D,30369.0,0.95,--,,33,28,0,4,0,0,0,0,0,0,3,10,0.23,0.329,0.295,0.624,4,3,2,0,0,0.0,0,0.222,6,9.0,Justin Steele,L,63.0,2022,8.0,184.0,105.0,31.0,13.0,"B.Woodruff (99-20-L), J.Ureña (99), J.Gustave (99), T.Gott (99), H.Milner 
(99)"
3,2022-04-10,boxscore,MIL,@,CHC,W,5,4,,44928,4.0,1,Cousins,Norris,Hader,0.1270833333,D,32858.0,0.92,+,,36,31,5,5,1,0,3,5,0,0,5,8,0.207,0.312,0.359,0.671,15,0,0,0,0,0.0,0,0.1,4,10.0,Marcus Stroman,R,59.0,2022,9.0,162.0,93.0,37.0,16.0,"F.Peralta (99-46), B.Suter (99), J.Cousins (2-BW), B.Boxberger (99-H), 
D.Williams (99-H), J.Hader (99-S)"
4,2022-04-11,boxscore,MIL,@,BAL,L,0,2,,44929,5.0,1.5,Baumann,Houser,López,0.1416666667,D,44461.0,0.87,-,,36,32,0,6,2,0,0,0,1,0,4,9,0.202,0.303,0.331,0.634,8,1,0,0,0,0.0,0,0.261,9,12.0,Bruce Zimmermann,L,58.0,2022,8.0,162.0,96.0,22.0,19.0,"A.Houser (99-45-L), A.Ashby (3), J.Gustave (1), H.Milner (1)"
5,2022-04-12,boxscore,MIL,@,BAL,W,5,4,,44960,3.0,1.5,Milner,Bautista,Hader,0.1513888889,N,11814.0,0.82,+,,39,36,5,9,4,0,0,4,0,2,3,5,0.213,0.304,0.338,0.642,13,1,0,0,0,2.0,0,0.29,7,9.0,Spenser Watkins,R,40.0,2022,9.0,169.0,101.0,25.0,26.0,"E.Lauer (99-46), J.Cousins (1), H.Milner (0-W), B.Boxberger (1-H), 
D.Williams (1-H), J.Hader (1-S)"
6,2022-04-13,boxscore,MIL,@,BAL,W,4,2,,44988,3.0,1,Boxberger,López,Hader,0.1277777778,N,12704.0,0.83,++,,37,33,4,7,2,1,0,4,0,0,4,5,0.212,0.303,0.337,0.64,11,1,0,0,0,0.0,0,0.25,6,11.0,John Means,L,51.0,2022,9.0,145.0,89.0,21.0,25.0,"C.Burnes (5-78), D.Williams (0-H), B.Boxberger (0-BW), J.Hader (0-S)"
7,2022-04-14,boxscore,MIL,,STL,W,5,1,,45019,2.0,0.5,Woodruff,Wainwright,,0.1277777778,D,42794.0,1.05,+++,,36,33,5,9,2,1,1,5,2,0,3,11,0.221,0.307,0.358,0.666,16,0,0,0,0,0.0,0,0.381,7,9.0,Adam Wainwright,R,36.0,2022,9.0,143.0,103.0,27.0,14.0,"B.Woodruff (4-62-W), T.Gott (4), J.Gustave (2)"
8,2022-04-15,boxscore,MIL,,STL,L,1,10,,45020,3.0,1,Mikolas,Peralta,,0.1319444444,N,26874.0,1.04,-,,36,33,1,6,0,0,0,1,0,0,2,8,0.216,0.3,0.336,0.636,6,0,1,0,0,0.0,0,0.24,8,11.0,Miles Mikolas,R,70.0,2022,9.0,164.0,105.0,23.0,23.0,"F.Peralta (4-23-L), J.Ureña (5), H.Milner (2), B.Suter (4), M.Brosseau (99)"
9,2022-04-16,boxscore,MIL,,STL,L,1,2,,45021,4.0,2,Matz,Houser,Gallegos,0.1215277778,N,26356.0,1.01,--,,31,31,1,5,1,0,1,1,1,0,0,10,0.21,0.287,0.331,0.618,9,1,0,0,0,0.0,0,0.2,3,10.0,Steven Matz,L,69.0,2022,9.0,146.0,85.0,21.0,15.0,"A.Houser (4-58-L), T.Gott (1), J.Cousins (3), B.Suter (0)"
10,2022-04-17,boxscore,MIL,,STL,W,6,5,,45051,4.0,1,Cousins,Hudson,Hader,0.1604166667,D,23001.0,0.99,+,,39,30,6,7,2,0,0,5,1,0,7,7,0.213,0.298,0.328,0.626,9,0,1,0,1,0.0,1,0.292,9,9.0,Dakota Hudson,R,39.0,2022,9.0,185.0,115.0,31.0,23.0,"A.Ashby (5-52), J.Cousins (0-W), J.Gustave (2-H), B.Boxberger (3-H), 
D.Williams (3-H), T.Gott (0-H), J.Hader (3-S)"
