Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,MIN,,SEA,L,1,2,,0-1,3,1,Ray,Ryan,Steckenrider,0.1201388889,D,35462.0,0.94,-,,34,29,1,4,0,0,1,1,0,0,4,6,0.138,0.265,0.241,0.506,7,2,1,0,0,0,0,0.136,6,11,Robbie Ray,L,68,2022
2,2022-04-09,boxscore,MIN,,SEA,L,3,4,,0-2,4,2,Muñoz,Duffey,Castillo,0.13125,D,20867.0,0.85,--,,34,31,3,4,0,0,2,3,0,0,2,14,0.133,0.235,0.283,0.519,10,0,1,0,0,0,0,0.133,4,9,Logan Gilbert,R,63,2022
3,2022-04-10,boxscore,MIN,,SEA,W,10,4,,44928,3,1,Ober,Gonzales,,0.1326388889,D,17018.0,0.85,+,,38,35,10,10,1,0,6,10,0,0,3,9,0.189,0.274,0.484,0.758,29,0,0,0,0,1,0,0.2,4,9,Marco Gonzales,L,27,2022
4,2022-04-11,boxscore,MIN,,SEA,W,4,0,,44959,2,0.5,Bundy,Flexen,,0.125,N,12932.0,0.92,++,,36,32,4,10,3,0,0,4,1,0,3,8,0.22,0.298,0.465,0.762,13,1,0,0,0,0,0,0.417,8,10,Chris Flexen,R,41,2022
5,2022-04-12,boxscore,MIN,,LAD,L,2,7,,44960,3,1.5,Hudson,Pagán,,0.1666666667,N,16732.0,0.89,-,,37,33,2,5,3,0,0,1,0,0,3,9,0.206,0.287,0.419,0.705,8,0,1,0,0,0,0,0.208,8,12,Andrew Heaney,L,60,2022
6,2022-04-13,boxscore,MIN,,LAD,L,0,7,,44961,4,2.5,Kershaw,Paddack,,0.1069444444,D,17101.0,0.86,--,,29,28,0,1,0,0,0,0,0,0,1,14,0.181,0.256,0.362,0.618,1,0,0,0,0,0,0,0.071,2,10,Clayton Kershaw,L,90,2022
7,2022-04-15,boxscore,MIN,@,BOS,W,8,4,,44989,4,2,Ryan,Pivetta,,0.1479166667,D,36266.0,0.86,+,,44,34,8,9,4,0,1,8,2,1,8,13,0.194,0.287,0.378,0.665,16,1,2,0,0,0,0,0.4,9,12,Nick Pivetta,R,30,2022
8,2022-04-16,boxscore,MIN,@,BOS,L,0,4,,44990,4,3,Houck,Gray,,0.1145833333,D,34990.0,0.9,-,,33,29,0,5,1,0,0,0,0,1,4,10,0.191,0.285,0.359,0.644,6,2,0,0,0,0,0,0.263,6,9,Tanner Houck,R,66,2022
9,2022-04-17,boxscore,MIN,@,BOS,L,1,8,,44991,5,3,Strahm,Ober,,0.11875,D,28858.0,0.83,--,,33,29,1,4,0,0,0,1,0,0,3,10,0.186,0.278,0.336,0.613,4,1,0,0,1,0,0,0.2,5,10,Michael Wacha,R,68,2022
10,2022-04-18,boxscore,MIN,@,BOS,W,8,3,,45022,4,2.5,Bundy,Hill,,0.1444444444,D,32514.0,0.84,+,,42,35,8,9,0,0,2,6,1,0,7,6,0.194,0.29,0.346,0.636,15,1,0,0,0,0,1,0.259,7,11,Rich Hill,L,36,2022
