Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-07,boxscore,NYM,@,WSN,W,5,1,,1-0,1,up 0.5,Megill,Corbin,,0.1465277778,N,35052.0,1.02,+,,42,35,5,12,2,0,0,5,0,1,4,9,0.343,0.452,0.4,0.852,14,2,3,0,0,0,0,0.462,10,11,Patrick Corbin,L,46,2022.0
1,2022-04-07 00:00:00,boxscore,NYM,@,WSN,W,5,1,,1-0,1,up 0.5,Megill,Corbin,,0.1465277778,N,35052.0,1.02,+,,42,35,5,12,2,0,0,5,0,1,4,9,0.343,0.452,0.4,0.852,14,2,3,0,0,0,0,0.462,10,11,Patrick Corbin,L,46,2022.0
1,2022-04-07 00:00:00,boxscore,NYM,@,WSN,W,5,1,,1-0,1,up 0.5,Megill,Corbin,,0.1465277778,N,35052.0,1.02,+,,42,35,5,12,2,0,0,5,0,1,4,9,0.343,0.452,0.4,0.852,14,2,3,0,0,0,0,0.462,10,11,Patrick Corbin,L,46,2022.0
2,2022-04-08,boxscore,NYM,@,WSN,W,7,3,,2-0,1,up 0.5,Scherzer,Gray,,0.1548611111,N,25677.0,1.01,++,,45,37,7,13,3,1,1,7,0,0,6,10,0.347,0.453,0.486,0.94,21,0,1,1,0,0,0,0.462,11,11,Josiah Gray,R,33,2022.0
2,2022-04-08 00:00:00,boxscore,NYM,@,WSN,W,7,3,,2-0,1,up 0.5,Scherzer,Gray,,0.1548611111,N,25677.0,1.01,++,,45,37,7,13,3,1,1,7,0,0,6,10,0.347,0.453,0.486,0.94,21,0,1,1,0,0,0,0.462,11,11,Josiah Gray,R,33,2022.0
2,2022-04-08 00:00:00,boxscore,NYM,@,WSN,W,7,3,,2-0,1,up 0.5,Scherzer,Gray,,0.1548611111,N,25677.0,1.01,++,,45,37,7,13,3,1,1,7,0,0,6,10,0.347,0.453,0.486,0.94,21,0,1,1,0,0,0,0.462,11,11,Josiah Gray,R,33,2022.0
3,2022-04-09,boxscore,NYM,@,WSN,W,5,0,,3-0,1,up 0.5,Bassitt,Adon,,0.1347222222,N,21369.0,1.12,+++,,41,35,5,9,2,0,1,4,2,0,5,8,0.318,0.425,0.458,0.883,14,0,1,0,0,0,0,0.308,9,9,Joan Adon,R,38,2022.0
3,2022-04-09 00:00:00,boxscore,NYM,@,WSN,W,5,0,,3-0,1,up 0.5,Bassitt,Adon,,0.1347222222,N,21369.0,1.12,+++,,41,35,5,9,2,0,1,4,2,0,5,8,0.318,0.425,0.458,0.883,14,0,1,0,0,0,0,0.308,9,9,Joan Adon,R,38,2022.0
3,2022-04-09 00:00:00,boxscore,NYM,@,WSN,W,5,0,,3-0,1,up 0.5,Bassitt,Adon,,0.1347222222,N,21369.0,1.12,+++,,41,35,5,9,2,0,1,4,2,0,5,8,0.318,0.425,0.458,0.883,14,0,1,0,0,0,0,0.308,9,9,Joan Adon,R,38,2022.0
4,2022-04-10,boxscore,NYM,@,WSN,L,2,4,,44986,1,up 0.5,Finnegan,Williams,Rainey,0.1256944444,D,23158.0,1.06,-,,37,33,2,7,1,0,1,2,1,0,4,9,0.293,0.396,0.429,0.825,11,0,0,0,0,0,0,0.261,8,10,Erick Fedde,R,52,2022.0
4,2022-04-10 00:00:00,boxscore,NYM,@,WSN,L,2,4,,44986,1,up 0.5,Finnegan,Williams,Rainey,0.1256944444,D,23158.0,1.06,-,,37,33,2,7,1,0,1,2,1,0,4,9,0.293,0.396,0.429,0.825,11,0,0,0,0,0,0,0.261,8,10,Erick Fedde,R,52,2022.0
4,2022-04-10 00:00:00,boxscore,NYM,@,WSN,L,2,4,,44986,1,up 0.5,Finnegan,Williams,Rainey,0.1256944444,D,23158.0,1.06,-,,37,33,2,7,1,0,1,2,1,0,4,9,0.293,0.396,0.429,0.825,11,0,0,0,0,0,0,0.261,8,10,Erick Fedde,R,52,2022.0
5,2022-04-11,boxscore,NYM,@,PHI,L,4,5,,44987,2,0.5,Domínguez,Lugo,Hand,0.1284722222,N,22317.0,1.13,--,,37,33,4,7,0,0,0,4,1,0,3,6,0.277,0.375,0.387,0.762,7,2,0,1,0,2,0,0.259,6,10,Ranger Suárez,L,36,2022.0
5,2022-04-11 00:00:00,boxscore,NYM,@,PHI,L,4,5,,44987,2,0.5,Domínguez,Lugo,Hand,0.1284722222,N,22317.0,1.13,--,,37,33,4,7,0,0,0,4,1,0,3,6,0.277,0.375,0.387,0.762,7,2,0,1,0,2,0,0.259,6,10,Ranger Suárez,L,36,2022.0
5,2022-04-11 00:00:00,boxscore,NYM,@,PHI,L,4,5,,44987,2,0.5,Domínguez,Lugo,Hand,0.1284722222,N,22317.0,1.13,--,,37,33,4,7,0,0,0,4,1,0,3,6,0.277,0.375,0.387,0.762,7,2,0,1,0,2,0,0.259,6,10,Ranger Suárez,L,36,2022.0
6,2022-04-12,boxscore,NYM,@,PHI,W,2,0,,45018,1,up 0.5,Megill,Wheeler,Díaz,0.1333333333,N,26045.0,1.07,+,,34,29,2,3,0,0,1,2,1,1,3,8,0.252,0.355,0.361,0.716,6,0,2,0,0,0,0,0.1,5,9,Zack Wheeler,R,58,2022.0
6,2022-04-12 00:00:00,boxscore,NYM,@,PHI,W,2,0,,45018,1,up 0.5,Megill,Wheeler,Díaz,0.1333333333,N,26045.0,1.07,+,,34,29,2,3,0,0,1,2,1,1,3,8,0.252,0.355,0.361,0.716,6,0,2,0,0,0,0,0.1,5,9,Zack Wheeler,R,58,2022.0
6,2022-04-12 00:00:00,boxscore,NYM,@,PHI,W,2,0,,45018,1,up 0.5,Megill,Wheeler,Díaz,0.1333333333,N,26045.0,1.07,+,,34,29,2,3,0,0,1,2,1,1,3,8,0.252,0.355,0.361,0.716,6,0,2,0,0,0,0,0.1,5,9,Zack Wheeler,R,58,2022.0
7,2022-04-13,boxscore,NYM,@,PHI,W,9,6,,45048,1,up 1.5,Scherzer,Nola,,0.1694444444,D,31190.0,1.13,++,,43,33,9,9,3,1,2,9,0,0,6,10,0.255,0.365,0.396,0.76,20,2,3,0,1,0,0,0.318,7,9,Aaron Nola,R,44,2022.0
7,2022-04-13 00:00:00,boxscore,NYM,@,PHI,W,9,6,,45048,1,up 1.5,Scherzer,Nola,,0.1694444444,D,31190.0,1.13,++,,43,33,9,9,3,1,2,9,0,0,6,10,0.255,0.365,0.396,0.76,20,2,3,0,1,0,0,0.318,7,9,Aaron Nola,R,44,2022.0
7,2022-04-13 00:00:00,boxscore,NYM,@,PHI,W,9,6,,45048,1,up 1.5,Scherzer,Nola,,0.1694444444,D,31190.0,1.13,++,,43,33,9,9,3,1,2,9,0,0,6,10,0.255,0.365,0.396,0.76,20,2,3,0,1,0,0,0.318,7,9,Aaron Nola,R,44,2022.0
8,2022-04-15,boxscore,NYM,,ARI,W,10,3,,45079,1,up 2.5,Bassitt,Davies,,0.1416666667,D,43820.0,1.09,+++,,41,34,10,12,1,0,4,10,2,0,4,5,0.268,0.371,0.439,0.81,25,0,1,0,2,0,0,0.296,7,11,Zach Davies,R,32,2022.0
8,2022-04-15 00:00:00,boxscore,NYM,,ARI,W,10,3,,45079,1,up 2.5,Bassitt,Davies,,0.1416666667,D,43820.0,1.09,+++,,41,34,10,12,1,0,4,10,2,0,4,5,0.268,0.371,0.439,0.81,25,0,1,0,2,0,0,0.296,7,11,Zach Davies,R,32,2022.0
8,2022-04-15 00:00:00,boxscore,NYM,,ARI,W,10,3,,45079,1,up 2.5,Bassitt,Davies,,0.1416666667,D,43820.0,1.09,+++,,41,34,10,12,1,0,4,10,2,0,4,5,0.268,0.371,0.439,0.81,25,0,1,0,2,0,0,0.296,7,11,Zach Davies,R,32,2022.0
9,2022-04-16,boxscore,NYM,,ARI,L,2,3,,45080,1,up 1.5,Poppen,Rodríguez,Melancon,0.1333333333,D,37935.0,1.14,-,,34,30,2,5,0,0,1,2,0,0,3,6,0.258,0.361,0.421,0.782,8,1,1,0,0,0,0,0.174,5,13,Zac Gallen,R,59,2022.0
9,2022-04-16 00:00:00,boxscore,NYM,,ARI,L,2,3,,45080,1,up 1.5,Poppen,Rodríguez,Melancon,0.1333333333,D,37935.0,1.14,-,,34,30,2,5,0,0,1,2,0,0,3,6,0.258,0.361,0.421,0.782,8,1,1,0,0,0,0,0.174,5,13,Zac Gallen,R,59,2022.0
9,2022-04-16 00:00:00,boxscore,NYM,,ARI,L,2,3,,45080,1,up 1.5,Poppen,Rodríguez,Melancon,0.1333333333,D,37935.0,1.14,-,,34,30,2,5,0,0,1,2,0,0,3,6,0.258,0.361,0.421,0.782,8,1,1,0,0,0,0,0.174,5,13,Zac Gallen,R,59,2022.0
10,2022-04-17,boxscore,NYM,,ARI,W,5,0,,45110,1,up 2.5,Shreve,Ramirez,,0.1243055556,D,24515.0,1.09,+,,36,29,5,6,1,0,1,4,2,0,6,2,0.253,0.358,0.415,0.773,10,0,0,0,1,0,0,0.185,7,11,Humberto Castellanos,R,58,2022.0
10,2022-04-17 00:00:00,boxscore,NYM,,ARI,W,5,0,,45110,1,up 2.5,Shreve,Ramirez,,0.1243055556,D,24515.0,1.09,+,,36,29,5,6,1,0,1,4,2,0,6,2,0.253,0.358,0.415,0.773,10,0,0,0,1,0,0,0.185,7,11,Humberto Castellanos,R,58,2022.0
10,2022-04-17 00:00:00,boxscore,NYM,,ARI,W,5,0,,45110,1,up 2.5,Shreve,Ramirez,,0.1243055556,D,24515.0,1.09,+,,36,29,5,6,1,0,1,4,2,0,6,2,0.253,0.358,0.415,0.773,10,0,0,0,1,0,0,0.185,7,11,Humberto Castellanos,R,58,2022.0
11,2022-04-19,boxscore,NYM,,SFG,W-wo,5,4,10.0,45141,1,up 3.5,Ottavino,García,,0.1479166667,D,,1.12,++,,39,35,5,8,3,0,0,4,2,0,3,9,0.251,0.352,0.405,0.757,11,0,0,1,0,0,0,0.308,7,13,Alex Cobb,R,41,2022.0
11,2022-04-19 00:00:00,boxscore,NYM,,SFG,W-wo,5,4,10.0,45141,1,up 3.5,Ottavino,García,,0.1479166667,D,,1.12,++,,39,35,5,8,3,0,0,4,2,0,3,9,0.251,0.352,0.405,0.757,11,0,0,1,0,0,0,0.308,7,13,Alex Cobb,R,41,2022.0
11,2022-04-19 00:00:00,boxscore,NYM,,SFG,W-wo,5,4,10.0,45141,1,up 3.5,Ottavino,García,,0.1479166667,D,,1.12,++,,39,35,5,8,3,0,0,4,2,0,3,9,0.251,0.352,0.405,0.757,11,0,0,1,0,0,0,0.308,7,13,Alex Cobb,R,41,2022.0
12,2022-04-19,boxscore,NYM,,SFG,W,3,1,,45172,1,up 3.5,Scherzer,Webb,May,0.1118055556,D,27490.0,1.16,+++,,34,31,3,8,2,0,0,3,0,0,3,7,0.251,0.35,0.398,0.748,10,1,0,0,0,0,0,0.333,7,10,Logan Webb,R,35,2022.0
12,2022-04-19 00:00:00,boxscore,NYM,,SFG,W,3,1,,45172,1,up 3.5,Scherzer,Webb,May,0.1118055556,D,27490.0,1.16,+++,,34,31,3,8,2,0,0,3,0,0,3,7,0.251,0.35,0.398,0.748,10,1,0,0,0,0,0,0.333,7,10,Logan Webb,R,35,2022.0
12,2022-04-19 00:00:00,boxscore,NYM,,SFG,W,3,1,,45172,1,up 3.5,Scherzer,Webb,May,0.1118055556,D,27490.0,1.16,+++,,34,31,3,8,2,0,0,3,0,0,3,7,0.251,0.35,0.398,0.748,10,1,0,0,0,0,0,0.333,7,10,Logan Webb,R,35,2022.0
13,2022-04-20,boxscore,NYM,,SFG,L,2,5,,45173,1,up 3.5,Rodón,Bassitt,McGee,0.1388888889,N,30050.0,1.15,-,,39,35,2,9,1,0,0,2,0,1,4,11,0.252,0.349,0.389,0.738,10,0,0,0,0,0,0,0.375,10,12,Carlos Rodón,L,67,2022.0
13,2022-04-20 00:00:00,boxscore,NYM,,SFG,L,2,5,,45173,1,up 3.5,Rodón,Bassitt,McGee,0.1388888889,N,30050.0,1.15,-,,39,35,2,9,1,0,0,2,0,1,4,11,0.252,0.349,0.389,0.738,10,0,0,0,0,0,0,0.375,10,12,Carlos Rodón,L,67,2022.0
13,2022-04-20 00:00:00,boxscore,NYM,,SFG,L,2,5,,45173,1,up 3.5,Rodón,Bassitt,McGee,0.1388888889,N,30050.0,1.15,-,,39,35,2,9,1,0,0,2,0,1,4,11,0.252,0.349,0.389,0.738,10,0,0,0,0,0,0,0.375,10,12,Carlos Rodón,L,67,2022.0
14,2022-04-21,boxscore,NYM,,SFG,W,6,2,,45203,1,up 4.0,Carrasco,DeSclafani,,0.1076388889,D,28760.0,1.19,+,,39,34,6,12,1,0,2,6,0,1,4,6,0.259,0.353,0.402,0.755,19,0,0,0,1,0,0,0.37,9,9,Anthony DeSclafani,R,32,2022.0
14,2022-04-21 00:00:00,boxscore,NYM,,SFG,W,6,2,,45203,1,up 4.0,Carrasco,DeSclafani,,0.1076388889,D,28760.0,1.19,+,,39,34,6,12,1,0,2,6,0,1,4,6,0.259,0.353,0.402,0.755,19,0,0,0,1,0,0,0.37,9,9,Anthony DeSclafani,R,32,2022.0
