Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,NYY,,BOS,W-wo,6,5,11.0,1-0,1.0,Tied,King,Crawford,,0.1638888889,D,46097.0,0.98,+,,46,39,6,9,1,0,3,6,0,0,4,15,0.231,0.326,0.487,0.813,19,0,2,0,1,0.0,2,0.273,12,12.0,Nathan Eovaldi,R,51.0,2022
2,2022-04-09,boxscore,NYY,,BOS,W,4,2,,2-0,1.0,Tied,Luetge,Pivetta,Chapman,0.1236111111,D,46882.0,1.01,++,,30,27,4,4,0,0,2,4,0,0,3,5,0.197,0.289,0.439,0.729,10,0,0,0,0,0.0,0,0.1,2,10.0,Nick Pivetta,R,46.0,2022
3,2022-04-10,boxscore,NYY,,BOS,L,3,4,,44958,2.0,1,Crawford,Schmidt,Diekman,0.1527777778,N,40108.0,1.02,-,,41,36,3,11,2,0,0,3,1,0,4,9,0.235,0.325,0.412,0.737,13,2,1,0,0,0.0,0,0.407,11,11.0,Tanner Houck,R,36.0,2022
4,2022-04-11,boxscore,NYY,,TOR,L,0,3,,44959,3.0,1,Manoah,Taillon,Romano,0.1270833333,N,26211.0,1.04,--,,35,29,0,4,0,0,0,0,0,0,5,9,0.214,0.316,0.351,0.667,4,2,1,0,0,0.0,0,0.2,8,10.0,Alek Manoah,R,73.0,2022
5,2022-04-12,boxscore,NYY,,TOR,W,4,0,,44987,2.0,1,Holmes,Kikuchi,,0.1298611111,N,25068.0,0.99,+,,33,28,4,7,4,0,1,3,0,0,3,5,0.22,0.319,0.377,0.696,14,1,1,0,1,0.0,0,0.261,5,10.0,Yusei Kikuchi,L,40.0,2022
6,2022-04-13,boxscore,NYY,,TOR,L,4,6,,44988,3.0,1,Cimber,Green,Romano,0.1319444444,N,30109.0,1.03,-,,39,36,4,10,2,0,3,4,0,0,3,9,0.231,0.321,0.415,0.737,21,1,0,0,0,0.0,0,0.292,8,11.0,José Berríos,R,45.0,2022
7,2022-04-14,boxscore,NYY,,TOR,W,3,0,,45019,1.0,Tied,Severino,Gausman,King,0.1291666667,N,37255.0,1.02,+,,32,31,3,8,2,0,0,3,1,0,1,10,0.235,0.316,0.403,0.719,10,1,0,0,0,0.0,0,0.381,5,10.0,Kevin Gausman,R,58.0,2022
8,2022-04-15,boxscore,NYY,@,BAL,L-wo,1,2,11.0,45020,2.0,1,Krehbiel,Schmidt,,0.1770833333,N,32197.0,1.0,-,,40,37,1,7,1,0,0,1,0,0,2,13,0.228,0.307,0.376,0.684,8,2,1,0,0,0.0,0,0.292,8,12.0,Jordan Lyles,R,54.0,2022
9,2022-04-16,boxscore,NYY,@,BAL,W,5,2,,45050,1.0,Tied,Sears,Lakins,Holmes,0.1430555556,N,28179.0,1.02,+,,43,35,5,11,3,0,1,4,0,1,5,7,0.238,0.32,0.389,0.71,17,0,1,1,0,0.0,0,0.37,11,9.0,Tyler Wells,R,57.0,2022
10,2022-04-17,boxscore,NYY,@,BAL,L,0,5,,45051,3.0,1,López,Loáisiga,,0.1361111111,D,25938.0,1.04,-,,34,30,0,4,0,0,0,0,0,0,3,10,0.229,0.311,0.366,0.677,4,1,0,1,0,1.0,0,0.2,7,11.0,Bruce Zimmermann,L,63.0,2022
