Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,ATH,@,PHI,L,5,9,,0-1,3,1.5,Nola,Montas,,0.1347222222,D,44232.0,0.88,-,,35,34,5,6,1,0,2,4,0,0,0,11,0.176,0.2,0.382,0.582,13,0,1,0,0,1,0,0.19,3,11,Aaron Nola,R,55,2022
2,2022-04-09,boxscore,ATH,@,PHI,L,2,4,,0-2,4,2,Gibson,Irvin,Knebel,0.1090277778,D,41622.0,0.83,--,,31,30,2,5,1,0,0,2,0,0,1,12,0.172,0.197,0.297,0.494,6,2,0,0,0,0,0,0.278,2,10,Kyle Gibson,R,83,2022
3,2022-04-10,boxscore,ATH,@,PHI,W,4,1,,44928,3,1.5,Jefferies,Falter,,0.1229166667,D,33507.0,0.81,+,,39,35,4,9,2,0,1,4,0,0,3,8,0.202,0.248,0.333,0.581,14,0,1,0,0,0,0,0.308,8,10,Zach Eflin,R,59,2022
4,2022-04-11,boxscore,ATH,@,TBR,W,13,2,,44959,2,1,Blackburn,Patiño,,0.125,N,9139.0,0.9,++,,45,41,13,13,2,1,4,12,0,0,3,8,0.236,0.287,0.443,0.73,29,1,1,0,0,2,0,0.31,5,11,Luis Patiño,R,46,2022
5,2022-04-12,boxscore,ATH,@,TBR,L-wo,8,9,10.0,44960,3,2,Thompson,Trivino,,0.175,N,7588.0,0.97,-,,45,35,8,8,1,0,1,7,1,0,9,8,0.234,0.313,0.423,0.736,12,1,1,0,0,0,1,0.269,8,12,Tommy Romero,R,35,2022
6,2022-04-13,boxscore,ATH,@,TBR,W,4,2,,44988,2,1,Montas,McClanahan,Trivino,0.1263888889,N,8954.0,0.91,+,,36,32,4,5,1,0,1,4,0,0,4,14,0.222,0.303,0.401,0.704,9,0,0,0,0,0,0,0.235,5,10,Shane McClanahan,L,53,2022
7,2022-04-14,boxscore,ATH,@,TBR,W,6,3,,45019,2,0.5,Irvin,Fleming,Jiménez,0.10625,D,8287.0,1.01,++,,38,35,6,9,2,0,0,3,0,0,3,12,0.227,0.305,0.388,0.693,11,1,0,0,0,0,0,0.391,5,10,Josh Fleming,L,35,2022
8,2022-04-15,boxscore,ATH,@,TOR,L,1,4,,45020,2,0.5,Cimber,Jefferies,Romano,0.125,N,35415.0,1.0,-,,33,33,1,6,1,0,0,1,1,0,0,11,0.222,0.291,0.367,0.659,7,0,0,0,0,0,0,0.273,5,12,Ross Stripling,R,61,2022
9,2022-04-16,boxscore,ATH,@,TOR,W,7,5,,45050,2,0.5,Jiménez,Merryweather,Trivino,0.1284722222,D,32330.0,0.96,+,,37,35,7,9,3,0,2,7,2,0,2,7,0.226,0.292,0.384,0.676,18,1,0,0,0,0,0,0.269,3,12,Hyun Jin Ryu,L,31,2022
10,2022-04-17,boxscore,ATH,@,TOR,L,3,4,,45051,3,1,Manoah,Oller,Romano,0.1284722222,D,27490.0,1.03,-,,36,30,3,6,0,0,1,3,1,0,3,8,0.224,0.291,0.376,0.667,9,1,1,0,2,0,0,0.217,6,13,Alek Manoah,R,60,2022
11,2022-04-18,boxscore,ATH,,BAL,W,5,1,,45082,2,0.5,Montas,Krehbiel,,0.1243055556,N,17503.0,0.94,+,,34,31,5,5,1,0,0,3,0,0,3,4,0.218,0.286,0.361,0.647,6,0,0,0,0,2,0,0.185,5,9,Spenser Watkins,R,58,2022
12,2022-04-19,boxscore,ATH,,BAL,W,2,1,,45112,1,Tied,Logue,Baumann,Jackson,0.1326388889,N,3748.0,1.07,++,,35,30,2,7,1,0,0,2,2,0,5,7,0.219,0.291,0.354,0.645,8,2,0,0,0,1,0,0.304,9,9,Chris Ellis,R,54,2022
13,2022-04-20,boxscore,ATH,,BAL,L,0,1,,45113,3,1,Lyles,Jefferies,López,0.1263888889,D,2703.0,1.05,-,,35,33,0,7,1,0,0,0,0,0,1,11,0.219,0.288,0.346,0.634,8,0,1,0,0,0,0,0.318,8,12,Jordan Lyles,R,62,2022
14,2022-04-21,boxscore,ATH,,BAL,W,6,4,,45144,2,0.5,Blackburn,Wells,Jiménez,0.1180555556,D,4429.0,1.01,+,,35,35,6,11,4,0,2,6,0,0,0,7,0.226,0.29,0.365,0.654,21,0,0,0,0,0,0,0.346,5,9,Tyler Wells,R,40,2022
15,2022-04-22,boxscore,ATH,,TEX,L,1,8,,45145,3,0.5,Otto,Oller,,0.1284722222,N,7012.0,1.06,-,,32,29,1,2,2,0,0,1,1,0,3,10,0.217,0.282,0.351,0.633,4,0,0,0,0,0,0,0.105,4,10,Glenn Otto,R,63,2022
16,2022-04-23,boxscore,ATH,,TEX,L,0,2,,45146,3,1.5,Burke,Montas,Bush,0.1118055556,D,9120.0,1.08,--,,32,30,0,3,2,0,0,0,0,0,2,8,0.21,0.275,0.341,0.616,5,0,0,0,0,0,0,0.136,5,10,Martín Pérez,L,72,2022
17,2022-04-24,boxscore,ATH,,TEX,W,2,0,,45177,3,1.5,Irvin,Howard,Jiménez,0.1222222222,D,11083.0,1.04,+,,33,27,2,5,1,0,1,2,0,1,6,9,0.209,0.278,0.341,0.619,9,1,0,0,0,0,1,0.235,7,12,Garrett Richards,R,52,2022
18,2022-04-26,boxscore,ATH,@,SFG,L,2,8,,45178,3,2.5,Rodón,Jefferies,,0.1256944444,N,32898.0,0.99,-,,35,32,2,5,2,0,0,2,2,0,3,15,0.206,0.276,0.334,0.609,7,0,0,0,0,0,0,0.294,6,10,Carlos Rodón,L,69,2022
