Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-07,boxscore,PIT,@,STL,L,0,9,,0-1,4,1,Wainwright,Brubaker,,0.1305555556,D,46256.0,0.99,-,,32,30,0,6,0,0,0,0,0,1,2,9,0.2,0.25,0.2,0.45,6,2,0,0,0,0,0,0.286,5,12,Adam Wainwright,R,68,2022,8.0,168,94,26,16,"J.Brubaker (99-34-L), W.Crowe (99), D.Underwood (99), H.Hembree (99), 
C.Stratton (99), A.Fletcher (99)"
2,2022-04-09,boxscore,PIT,@,STL,L,2,6,,0-2,4,2,Whitley,Keller,,0.1472222222,D,45025.0,0.96,--,,40,35,2,9,3,0,0,2,0,0,4,7,0.231,0.292,0.277,0.569,12,0,0,0,1,0,0,0.31,11,12,Miles Mikolas,R,40,2022,8.0,144,93,28,19,"M.Keller (99-36-L), R.Contreras (99), H.Hembree (1), A.Banda (99), D.Bednar 
(99)"
3,2022-04-10,boxscore,PIT,@,STL,W,9,4,,44928,4,1,Yajure,Matz,,0.1305555556,D,40027.0,0.91,+,,44,41,9,15,3,0,1,7,0,0,3,10,0.283,0.336,0.368,0.704,21,2,0,0,0,1,0,0.467,8,9,Steven Matz,L,17,2022,9.0,138,89,27,10,"B.Wilson (99-41), M.Yajure (99-W), H.Hembree (0), W.Crowe (2)"
4,2022-04-12,boxscore,PIT,,CHC,L,1,2,,44929,5,2,Smyly,Quintana,Robertson,0.11875,D,34458.0,0.94,-,,33,33,1,6,2,0,1,1,1,0,0,7,0.259,0.302,0.36,0.662,11,0,0,0,0,0,0,0.2,5,11,Drew Smyly,L,62,2022,9.0,125,85,19,21,"J.Quintana (99-55-L), A.Banda (2), C.Stratton (4), D.Bednar (2)"
5,2022-04-13,boxscore,PIT,,CHC,W,6,2,,44960,4,1.5,Peters,Hendricks,Crowe,0.1173611111,D,9122.0,0.88,+,,35,30,6,8,1,1,1,6,0,0,5,9,0.26,0.315,0.379,0.694,14,1,0,0,0,0,0,0.35,5,10,Kyle Hendricks,R,23,2022,9.0,143,92,25,12,"Z.Thompson (99-46), D.Peters (99-W), W.Crowe (2-S)"
6,2022-04-14,boxscore,PIT,,WSN,W,9,4,,44988,4,1,Contreras,Adon,,0.1506944444,N,9266.0,0.89,++,,46,37,9,14,2,1,2,9,2,0,8,12,0.282,0.348,0.427,0.775,24,0,0,0,1,0,0,0.5,13,10,Joan Adon,R,24,2022,9.0,155,99,25,21,"J.Brubaker (6-38), A.Banda (1), R.Contreras (4-W), A.Fletcher (6)"
7,2022-04-15,boxscore,PIT,,WSN,L,2,7,,44989,4,1.5,Fedde,Keller,,0.1347222222,N,13076.0,0.95,-,,34,32,2,5,1,0,0,2,0,0,2,10,0.265,0.33,0.395,0.725,6,0,0,0,0,0,0,0.227,5,10,Erick Fedde,R,55,2022,9.0,165,101,26,15,"M.Keller (5-32-L), A.Banda (0), M.Yajure (4), H.Hembree (4), A.Fletcher (0)"
8,2022-04-16,boxscore,PIT,,WSN,W,6,4,,45020,2,1.5,Peters,Rogers,,0.1423611111,N,8676.0,0.91,+,,36,33,6,10,1,1,0,5,0,1,3,7,0.269,0.333,0.395,0.728,13,0,0,0,0,0,0,0.385,6,9,Josh Rogers,L,39,2022,9.0,152,82,24,9,"B.Wilson (5-46), D.Peters (2-W), D.Bednar (3-H), C.Stratton (3)"
9,2022-04-17,boxscore,PIT,,WSN,W,5,3,,45050,2,0.5,Hembree,Cishek,Bednar,0.1388888889,D,8735.0,0.95,++,,35,30,5,7,0,0,0,4,1,1,4,7,0.266,0.332,0.379,0.711,7,1,0,1,0,2,1,0.304,6,10,Patrick Corbin,L,55,2022,9.0,174,97,31,9,"J.Quintana (4-39), W.Crowe (3), H.Hembree (1-W), D.Bednar (0-S)"
10,2022-04-18,boxscore,PIT,@,MIL,L,1,6,,45051,4,1,Lauer,Thompson,,0.1138888889,N,21512.0,1.05,-,,37,35,1,8,1,0,1,1,0,0,2,7,0.262,0.326,0.375,0.701,12,0,0,0,0,0,0,0.259,9,10,Eric Lauer,L,62,2022,8.0,131,78,20,21,"Z.Thompson (4-27-L), D.Peters (1), A.Fletcher (2)"
