Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-07,boxscore,SDP,@,ARI,L-wo,2,4,,0-1,5.0,1,Mantiply,Suarez,,0.1375,N,35508.0,0.98,-,,36,29,2,4,1,0,0,2,1,0,7,5,0.138,0.306,0.172,0.478,5,2,0,0,0,0.0,0,0.167,7,10.0,Madison Bumgarner,L,51.0,2022,8.0,143.0,75.0,23.0,13.0,"Y.Darvish (99-71), T.Hill (99-H), P.Johnson (99-H), R.Suarez (99-L), 
C.Stammen (99-BS)"
2,2022-04-08,boxscore,SDP,@,ARI,W,3,0,,44927,3.0,0.5,Manaea,Pérez,Rogers,0.1138888889,N,17297.0,0.93,+,,38,34,3,11,2,0,1,2,0,1,3,10,0.238,0.342,0.333,0.676,16,1,0,1,0,0.0,1,0.435,8,10.0,Merrill Kelly,R,59.0,2022,9.0,114.0,85.0,21.0,13.0,"S.Manaea (99-83-W), T.Hill (0-H), D.Lamet (99-H), T.Rogers (99-S)"
3,2022-04-09,boxscore,SDP,@,ARI,W,5,2,,44958,1.0,up 0.5,Wilson,Kennedy,Rogers,0.1194444444,N,19504.0,1.01,++,,39,34,5,10,2,0,0,5,1,1,4,4,0.258,0.348,0.34,0.688,12,1,0,0,1,0.0,0,0.323,7,10.0,Zach Davies,R,50.0,2022,9.0,123.0,80.0,27.0,13.0,"J.Musgrove (99-62), S.Wilson (99-W), P.Johnson (1-H), T.Rogers (0-S)"
4,2022-04-10,boxscore,SDP,@,ARI,W,10,5,,44986,1.0,up 0.5,Adams,Smith,,0.1354166667,D,19089.0,1.09,+++,,43,34,10,8,1,1,2,8,0,0,6,12,0.252,0.348,0.382,0.73,17,0,1,0,2,2.0,0,0.273,6,11.0,Caleb Smith,L,30.0,2022,9.0,174.0,99.0,31.0,16.0,"N.Crismatt (99-58), A.Adams (99-W), C.Stammen (2), R.Suarez (2), J.Guerra 
(99)"
5,2022-04-11,boxscore,SDP,@,SFG,W,4,2,,45017,1.0,up 0.5,Wilson,Rogers,Rogers,0.1458333333,N,23279.0,1.15,++++,,42,37,4,10,1,0,1,4,0,0,4,11,0.256,0.35,0.381,0.731,14,0,1,0,0,0.0,0,0.36,11,10.0,Alex Wood,L,50.0,2022,9.0,153.0,99.0,33.0,23.0,"N.Martinez (99-58), S.Wilson (1-BW), C.Stammen (0-H), P.Johnson (1-H), 
T.Rogers (1-S)"
6,2022-04-12,boxscore,SDP,@,SFG,L,2,13,,45018,2.0,0.5,Cobb,Darvish,,0.1340277778,N,25560.0,1.13,-,,36,30,2,5,2,0,0,2,1,0,6,14,0.242,0.343,0.359,0.702,7,2,0,0,0,0.0,0,0.313,7,12.0,Alex Cobb,R,59.0,2022,8.0,176.0,110.0,26.0,26.0,"Y.Darvish (4-3-L), N.Crismatt (1), A.Adams (1), D.Lamet (3), R.Suarez (1), 
W.Myers (99)"
7,2022-04-13,boxscore,SDP,@,SFG,L,1,2,,45019,3.0,1,Webb,Manaea,Doval,0.09097222222,D,27197.0,1.12,--,,34,32,1,5,2,1,0,1,0,0,1,9,0.23,0.326,0.348,0.674,9,0,1,0,0,0.0,0,0.217,6,11.0,Logan Webb,R,77.0,2022,8.0,112.0,70.0,19.0,20.0,"S.Manaea (4-60-L), S.Wilson (1)"
8,2022-04-14,boxscore,SDP,,ATL,W,12,1,,45049,1.0,Tied,Musgrove,Morton,,0.1298611111,N,44844.0,0.99,+,,48,40,12,16,3,0,2,12,3,0,5,6,0.256,0.349,0.389,0.738,25,1,2,0,1,2.0,0,0.424,12,9.0,Charlie Morton,R,31.0,2022,9.0,124.0,86.0,24.0,15.0,"J.Musgrove (4-72-W), T.Hill (5), C.Stammen (2), P.Avila (99)"
9,2022-04-15,boxscore,SDP,,ATL,L,2,5,,45050,4.0,1,O'Day,Johnson,Jansen,0.1402777778,N,41993.0,0.98,-,,34,33,2,6,2,0,0,2,1,0,0,16,0.248,0.335,0.373,0.708,8,0,1,0,0,0.0,0,0.353,5,11.0,Kyle Wright,R,58.0,2022,9.0,162.0,96.0,19.0,17.0,"M.Gore (99-55), L.García (99), R.Suarez (2), P.Johnson (3-L), D.Lamet (2)"
10,2022-04-16,boxscore,SDP,,ATL,L,2,5,,45051,4.0,2,Anderson,Martinez,Jansen,0.1229166667,D,36924.0,0.98,--,,32,31,2,4,0,0,2,2,0,0,1,11,0.237,0.32,0.368,0.688,10,0,0,0,0,0.0,0,0.111,3,10.0,Ian Anderson,R,67.0,2022,9.0,140.0,87.0,24.0,15.0,"N.Martinez (4-36-L), C.Stammen (1), N.Crismatt (3)"
11,2022-04-17,boxscore,SDP,,ATL,W,2,1,,45082,4.0,2,Darvish,Elder,Rogers,0.1208333333,D,37694.0,0.94,+,,36,26,2,3,0,0,0,2,1,0,8,6,0.228,0.322,0.35,0.672,3,1,1,1,0,0.0,0,0.15,10,10.0,Bryce Elder,R,47.0,2022,9.0,125.0,82.0,22.0,18.0,"Y.Darvish (4-70-W), S.Wilson (3-H), L.García (1-H), T.Rogers (5-S)"
12,2022-04-18,boxscore,SDP,,CIN,W,4,1,,45112,4.0,2,Manaea,Lodolo,Rogers,0.1180555556,N,31121.0,0.94,++,,36,29,4,7,1,0,1,4,0,1,6,10,0.229,0.325,0.352,0.677,11,0,0,0,1,0.0,0,0.316,8,10.0,Nick Lodolo,L,49.0,2022,9.0,135.0,95.0,19.0,23.0,"S.Manaea (4-60-W), S.Wilson (0-H), P.Johnson (2-H), T.Rogers (0-S)"
13,2022-04-19,boxscore,SDP,,CIN,W,6,2,,45143,3.0,1,Musgrove,Sanmartin,,0.1118055556,N,31313.0,0.96,+++,,34,31,6,8,3,0,1,6,0,0,2,8,0.231,0.325,0.36,0.685,14,0,1,0,0,0.0,0,0.318,4,10.0,Reiver Sanmartin,L,35.0,2022,9.0,136.0,92.0,29.0,18.0,"J.Musgrove (4-63-W), R.Suarez (3-H), T.Hill (4)"
14,2022-04-20,boxscore,SDP,,CIN,W,6,0,,45174,2.0,1,Gore,Gutierrez,,0.1222222222,D,25359.0,1.01,++++,,36,27,6,6,2,0,2,6,2,0,6,4,0.23,0.33,0.369,0.699,14,2,2,0,1,0.0,1,0.182,6,9.0,Vladimir Gutierrez,R,46.0,2022,9.0,135.0,90.0,25.0,18.0,"M.Gore (4-64-W), S.Wilson (1-H), P.Johnson (1-H), L.García (2), D.Lamet (4)"
15,2022-04-22,boxscore,SDP,,LAD,L,1,6,,45175,4.0,2,Urías,Martinez,,0.1423611111,N,44482.0,1.14,-,,35,32,1,4,1,0,0,1,0,0,3,10,0.223,0.321,0.355,0.676,5,0,0,0,0,1.0,0,0.182,7,12.0,Julio Urías,L,62.0,2022,9.0,185.0,107.0,33.0,17.0,"N.Martinez (5-47-L), N.Crismatt (5), T.Hill (2), D.Lamet (1), C.Stammen (5)"
16,2022-04-23,boxscore,SDP,,LAD,W-wo,3,2,10.0,45205,3.0,1,Suarez,Bruihl,,0.14375,N,44444.0,1.13,+,,37,30,3,5,1,0,1,3,1,0,4,9,0.22,0.317,0.352,0.669,9,1,0,1,2,0.0,0,0.182,6,11.0,Tyler Anderson,L,49.0,2022,10.0,156.0,99.0,38.0,16.0,"Y.Darvish (5-74), S.Wilson (2-H), L.García (2-H), T.Rogers (4-BS), R.Suarez 
(3-W)"
17,2022-04-24,boxscore,SDP,,LAD,L,2,10,,45206,4.0,2,Kershaw,Manaea,,0.1263888889,D,44930.0,1.16,-,,35,33,2,8,1,1,0,2,0,0,1,6,0.221,0.315,0.351,0.666,11,2,1,0,0,0.0,0,0.296,6,13.0,Clayton Kershaw,L,58.0,2022,9.0,159.0,102.0,20.0,18.0,"S.Manaea (5-27-L), D.Lamet (1), P.Avila (9), R.Kerr (99)"
18,2022-04-26,boxscore,SDP,@,CIN,W,9,6,,45237,3.0,2,Musgrove,Sanmartin,,0.1326388889,N,10056.0,0.97,+,,43,38,9,12,1,1,2,9,0,0,5,10,0.228,0.32,0.364,0.684,21,0,0,0,0,0.0,0,0.385,7,10.0,Reiver Sanmartin,L,8.0,2022,9.0,136.0,93.0,26.0,17.0,"J.Musgrove (6-47-W), S.Wilson (2), L.García (2), R.Suarez (2)"
