Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,SFG,,MIA,W-wo,6,5,10.0,1-0,1,Tied,Alvarez,Bass,,0.1430555556,D,40853.0,0.92,+,,40,33,6,6,1,0,3,5,1,1,7,7,0.182,0.325,0.485,0.81,16,0,0,0,0,1,1,0.13,6,11,Sandy Alcantara,R,50,2022
2,2022-04-09,boxscore,SFG,,MIA,L,1,2,,44927,2,0.5,Okert,McGee,Bender,0.1229166667,D,38885.0,0.96,-,,33,31,1,5,2,0,0,1,0,0,2,14,0.172,0.274,0.359,0.633,7,1,0,0,0,0,0,0.294,5,10,Pablo López,R,62,2022
3,2022-04-10,boxscore,SFG,,MIA,W,3,2,,44958,2,0.5,García,Rogers,Leone,0.1131944444,D,37332.0,0.94,+,,31,29,3,6,2,0,0,3,0,0,1,5,0.183,0.26,0.333,0.593,8,1,0,0,1,1,0,0.24,4,10,Trevor Rogers,L,47,2022
4,2022-04-11,boxscore,SFG,,SDP,L,2,4,,44959,3,1.5,Wilson,Rogers,Rogers,0.1458333333,N,23279.0,1.02,-,,40,34,2,10,2,0,0,1,0,0,4,11,0.213,0.292,0.339,0.63,12,2,1,0,1,0,0,0.417,11,11,Nick Martinez,R,58,2022
5,2022-04-12,boxscore,SFG,,SDP,W,13,2,,44987,3,1,Cobb,Darvish,,0.1340277778,N,25560.0,0.94,+,,43,37,13,15,2,0,3,12,2,0,4,11,0.256,0.332,0.421,0.752,26,1,1,0,1,0,0,0.5,6,12,Yu Darvish,R,3,2022
6,2022-04-13,boxscore,SFG,,SDP,W,2,1,,45018,2,0.5,Webb,Manaea,Doval,0.09097222222,D,27197.0,1.04,++,,29,27,2,4,2,0,0,2,0,0,2,11,0.241,0.315,0.393,0.707,6,1,0,0,0,0,0,0.25,3,10,Sean Manaea,L,60,2022
7,2022-04-15,boxscore,SFG,@,CLE,W,4,1,,45048,1,Tied,Rodón,Plesac,Doval,0.1222222222,N,33469.0,0.97,+++,,41,36,4,8,2,0,3,4,0,0,4,9,0.238,0.315,0.414,0.729,19,0,1,0,0,1,0,0.208,10,10,Zach Plesac,R,49,2022
8,2022-04-16,boxscore,SFG,@,CLE,W,4,2,,45079,1,Tied,Leone,Sandlin,McGee,0.1381944444,N,13187.0,1.01,++++,,38,33,4,5,1,0,0,3,2,0,5,9,0.227,0.308,0.385,0.693,6,0,0,0,0,0,0,0.208,7,11,Cal Quantrill,R,51,2022
9,2022-04-17,boxscore,SFG,@,CLE,W,8,1,,45109,1,Tied,Wood,Civale,,0.1229166667,D,9620.0,1.02,+++++,,39,37,8,11,4,0,2,7,2,0,2,9,0.236,0.311,0.407,0.719,21,1,0,0,0,0,0,0.346,4,11,Aaron Civale,R,44,2022
10,2022-04-19,boxscore,SFG,@,NYM,L-wo,4,5,10.0,45110,3,1,Ottavino,García,,0.1479166667,D,,1.06,-,,42,38,4,9,1,0,1,4,1,1,4,7,0.236,0.311,0.4,0.711,13,1,0,0,0,0,0,0.267,9,11,Tylor Megill,R,44,2022
11,2022-04-19,boxscore,SFG,@,NYM,L,1,3,,45111,3,1,Scherzer,Webb,May,0.1118055556,D,27490.0,1.05,--,,32,29,1,2,0,0,0,1,0,0,3,11,0.223,0.299,0.374,0.673,2,0,0,0,0,0,0,0.111,4,9,Max Scherzer,R,78,2022
12,2022-04-20,boxscore,SFG,@,NYM,W,5,2,,45142,2,1,Rodón,Bassitt,McGee,0.1388888889,N,30050.0,1.05,+,,37,34,5,8,1,0,1,5,1,0,3,10,0.224,0.299,0.372,0.671,12,0,0,0,0,0,0,0.304,5,10,Chris Bassitt,R,41,2022
