Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-07,boxscore,STL,,PIT,W,9,0,,1-0,1,Tied,Wainwright,Brubaker,,0.1305555556,D,46256.0,0.96,+,,41,31,9,8,2,0,3,9,1,0,7,5,0.258,0.39,0.613,1.003,19,1,1,0,2,1,0,0.2,8,9,JT Brubaker,R,34,2022.0
1,2022-04-07 00:00:00,boxscore,STL,,PIT,W,9,0,,1-0,1,Tied,Wainwright,Brubaker,,0.1305555556,D,46256.0,0.96,+,,41,31,9,8,2,0,3,9,1,0,7,5,0.258,0.39,0.613,1.003,19,1,1,0,2,1,0,0.2,8,9,JT Brubaker,R,34,2022.0
1,2022-04-07 00:00:00,boxscore,STL,,PIT,W,9,0,,1-0,1,Tied,Wainwright,Brubaker,,0.1305555556,D,46256.0,0.96,+,,41,31,9,8,2,0,3,9,1,0,7,5,0.258,0.39,0.613,1.003,19,1,1,0,2,1,0,0.2,8,9,JT Brubaker,R,34,2022.0
2,2022-04-09,boxscore,STL,,PIT,W,6,2,,2-0,1,Tied,Whitley,Keller,,0.1472222222,D,45025.0,1.04,++,,38,33,6,10,3,0,1,6,1,0,4,7,0.281,0.392,0.547,0.939,16,1,1,0,0,0,0,0.36,8,9,Mitch Keller,R,36,2022.0
2,2022-04-09 00:00:00,boxscore,STL,,PIT,W,6,2,,2-0,1,Tied,Whitley,Keller,,0.1472222222,D,45025.0,1.04,++,,38,33,6,10,3,0,1,6,1,0,4,7,0.281,0.392,0.547,0.939,16,1,1,0,0,0,0,0.36,8,9,Mitch Keller,R,36,2022.0
2,2022-04-09 00:00:00,boxscore,STL,,PIT,W,6,2,,2-0,1,Tied,Whitley,Keller,,0.1472222222,D,45025.0,1.04,++,,38,33,6,10,3,0,1,6,1,0,4,7,0.281,0.392,0.547,0.939,16,1,1,0,0,0,0,0.36,8,9,Mitch Keller,R,36,2022.0
3,2022-04-10,boxscore,STL,,PIT,L,4,9,,44958,1,Tied,Yajure,Matz,,0.1305555556,D,40027.0,1.07,-,,35,31,4,7,2,0,1,4,0,0,2,5,0.263,0.351,0.495,0.846,12,1,0,0,2,0,0,0.222,4,9,Bryse Wilson,R,41,2022.0
3,2022-04-10 00:00:00,boxscore,STL,,PIT,L,4,9,,44958,1,Tied,Yajure,Matz,,0.1305555556,D,40027.0,1.07,-,,35,31,4,7,2,0,1,4,0,0,2,5,0.263,0.351,0.495,0.846,12,1,0,0,2,0,0,0.222,4,9,Bryse Wilson,R,41,2022.0
3,2022-04-10 00:00:00,boxscore,STL,,PIT,L,4,9,,44958,1,Tied,Yajure,Matz,,0.1305555556,D,40027.0,1.07,-,,35,31,4,7,2,0,1,4,0,0,2,5,0.263,0.351,0.495,0.846,12,1,0,0,2,0,0,0.222,4,9,Bryse Wilson,R,41,2022.0
4,2022-04-12,boxscore,STL,,KCR,W,6,5,,44986,1,Tied,Hicks,Lynch,Gallegos,0.1083333333,N,40398.0,0.93,+,,36,34,6,10,2,0,3,6,0,0,2,9,0.271,0.347,0.527,0.874,21,0,0,0,0,0,0,0.318,6,9,Daniel Lynch IV,L,31,2022.0
4,2022-04-12 00:00:00,boxscore,STL,,KCR,W,6,5,,44986,1,Tied,Hicks,Lynch,Gallegos,0.1083333333,N,40398.0,0.93,+,,36,34,6,10,2,0,3,6,0,0,2,9,0.271,0.347,0.527,0.874,21,0,0,0,0,0,0,0.318,6,9,Daniel Lynch IV,L,31,2022.0
