Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,TBR,,BAL,W,2,1,,1-0,1,Tied,Kittredge,Tate,Raley,0.1347222222,D,25025,0.92,+,,35,30,2,8,0,0,0,2,0,0,3,9,0.267,0.314,0.267,0.581,8,0,0,0,2,0,0,0.348,9,12,John Means,L,50,2022,9.0,148,95,19,31,S.McClanahan (99-60) J.Chargois (99) M.Wisler (99-BS) J.Springs (99) A.Kittredge (99-W) J.Feyereisen (99-H) B.Raley (99-S)
2,2022-04-09,boxscore,TBR,,BAL,W,5,3,,2-0,1,Tied,Fleming,Lyles,Kittredge,0.10625,D,15615,1.04,++,,33,29,5,8,1,1,1,5,0,0,3,5,0.271,0.324,0.373,0.696,14,3,0,0,1,1,0,0.292,4,9,Jordan Lyles,R,32,2022,9.0,124,85,25,15,D.Rasmussen (99-50) J.Fleming (99-W) J.Feyereisen (0-H) A.Kittredge (0-S)
3,2022-04-10,boxscore,TBR,,BAL,W,8,0,,3-0,1,up 1.0,Springs,Wells,,0.1319444444,D,14100,1.01,+++,,38,32,8,11,3,0,1,8,1,1,5,8,0.297,0.358,0.429,0.787,17,1,0,0,1,0,0,0.417,6,10,Tyler Wells,R,33,2022,9.0,166,102,24,30,C.Kluber (99-59) J.Springs (1-W) J.Adam (99) J.Beeks (99) M.Wisler (1)
4,2022-04-11,boxscore,TBR,,OAK,L,2,13,,44986,1,Tied,Blackburn,Patiño,,0.125,N,9139,1.09,-,,36,35,2,8,1,0,0,2,0,0,1,13,0.278,0.331,0.381,0.712,9,0,0,0,0,0,0,0.364,7,10,Paul Blackburn,R,67,2022,9.0,158,100,26,17,L.Patiño (99-46-L) C.Mazza (99) J.Feyereisen (1) R.Thompson (99) J.Adam (0) B.Phillips (99)
5,2022-04-12,boxscore,TBR,,OAK,W-wo,9,8,10.0,45017,1,up 1.0,Thompson,Trivino,,0.175,N,7588,0.99,+,,51,43,9,13,5,1,3,9,0,0,8,11,0.284,0.352,0.456,0.808,29,0,0,0,0,1,1,0.345,14,10,Adam Oller,R,24,2022,10.0,185,111,36,20,T.Romero (99-35) J.Springs (1) B.Raley (3-H) M.Wisler (1-H) R.Garza (99-BS) R.Thompson (0-W)
6,2022-04-13,boxscore,TBR,,OAK,L,2,4,,45018,1,Tied,Montas,McClanahan,Trivino,0.1263888889,N,8954,1.06,-,,38,36,2,8,0,0,1,2,0,0,2,8,0.273,0.338,0.429,0.767,11,0,0,0,0,0,0,0.259,9,11,Frankie Montas,R,63,2022,9.0,153,100,31,26,S.McClanahan (4-53-L) M.Wisler (0) A.Kittredge (3) D.Knight (99) J.Feyereisen (1)
7,2022-04-14,boxscore,TBR,,OAK,L,3,6,,45019,1,Tied,Irvin,Fleming,Jiménez,0.10625,D,8287,1.01,--,,33,33,3,7,2,0,1,3,0,0,0,4,0.265,0.322,0.42,0.742,12,0,0,0,0,0,0,0.214,3,9,Cole Irvin,L,53,2022,9.0,134,96,22,21,J.Fleming (4-35-L) J.Springs (1) P.Sanders (99) J.Beeks (3)
8,2022-04-15,boxscore,TBR,@,CHW,L,2,3,,45020,2,1,Cease,Rasmussen,Hendriks,0.11875,N,19009,0.99,---,,34,32,2,6,2,0,0,2,1,0,2,13,0.256,0.312,0.4,0.712,8,0,0,0,0,0,0,0.316,5,11,Dylan Cease,R,65,2022,8.0,107,73,12,17,D.Rasmussen (5-47-L) J.Adam (3) B.Raley (2) M.Wisler (1)
9,2022-04-16,boxscore,TBR,@,CHW,L,2,3,,45021,4,1,López,Thompson,Hendriks,0.1180555556,D,27113,0.98,----,,36,30,2,5,1,0,0,2,2,0,4,12,0.247,0.308,0.38,0.688,6,0,1,0,1,0,1,0.263,7,12,Michael Kopech,R,66,2022,8.0,116,81,21,12,C.Kluber (5-55) R.Thompson (3-L) J.Springs (1) A.Kittredge (2)
10,2022-04-17,boxscore,TBR,@,CHW,W,9,3,,45051,3,1,Mazza,Velasquez,,0.1493055556,D,17798,0.92,+,,45,39,9,12,4,0,0,8,0,0,5,8,0.254,0.319,0.383,0.703,16,0,1,0,0,0,0,0.387,9,9,Vince Velasquez,R,42,2022,9.0,146,85,20,22,J.Feyereisen (3-59) C.Mazza (5-W) J.Beeks (2-H) R.Thompson (0-H) T.Romero (4)
11,2022-04-18,boxscore,TBR,@,CHC,L,2,4,,45052,4,1.5,Thompson,Adam,Robertson,0.1131944444,N,26615,0.93,-,,35,31,2,6,0,0,0,2,2,1,4,12,0.249,0.316,0.368,0.684,6,1,0,0,0,0,0,0.316,6,10,Kyle Hendricks,R,49,2022,8.0,131,87,24,22,S.McClanahan (4-67) J.Adam (2-L) J.Springs (1) J.Guerra (7)
12,2022-04-19,boxscore,TBR,@,CHC,W,6,5,,45083,4,0.5,Fleming,Steele,Kittredge,0.13125,N,26568,0.87,+,,39,35,6,10,3,1,1,6,0,0,4,6,0.252,0.32,0.38,0.7,18,1,0,0,0,0,0,0.321,6,9,Justin Steele,L,34,2022,9.0,142,91,31,10,M.Wisler (3-54) J.Fleming (4-W) J.Adam (0-H) B.Raley (3-H) R.Thompson (1-H) A.Kittredge (2-S)
13,2022-04-20,boxscore,TBR,@,CHC,W,8,2,6.0,45113,3,0.5,Beeks,Stroman,,0.08819444444,N,26167,0.93,++,,30,28,8,9,5,1,1,7,2,0,2,10,0.256,0.323,0.4,0.723,19,0,0,0,0,1,0,0.471,4,9,Marcus Stroman,R,22,2022,5.0,105,65,17,11,D.Rasmussen (4-45) J.Beeks (2-W)
14,2022-04-22,boxscore,TBR,,BOS,L,3,4,,45114,3,2,Wacha,Kluber,Barnes,0.1395833333,N,16902,1.09,-,,38,33,3,6,0,0,2,3,0,0,5,7,0.251,0.321,0.397,0.718,12,0,0,0,0,2,0,0.167,8,12,Michael Wacha,R,54,2022,9.0,135,96,20,13,C.Kluber (5-31-L) J.Guerra (3) C.Poche (99) P.Sanders (7)
15,2022-04-23,boxscore,TBR,,BOS,W-wo,3,2,10.0,45145,3,2,Wisler,Robles,,0.1284722222,N,19137,1.06,+,,34,32,3,3,1,0,1,2,1,0,2,14,0.241,0.31,0.386,0.695,7,1,0,0,0,1,0,0.118,3,9,Garrett Whitlock,R,67,2022,10.0,146,91,20,20,J.Feyereisen (5-58) J.Guerra (0) J.Springs (4) J.Adam (3) R.Thompson (3) A.Kittredge (3) M.Wisler (3-W)
16,2022-04-24,boxscore,TBR,,BOS,W,5,2,,45176,3,1,McClanahan,Valdez,Thompson,0.1097222222,D,20993,1.03,++,,37,30,5,9,2,0,1,4,0,1,4,3,0.244,0.318,0.39,0.708,14,0,3,0,0,0,0,0.308,8,11,Rich Hill,L,52,2022,9.0,114,80,16,20,S.McClanahan (5-64-W) C.Poche (1-H) R.Thompson (0-S)
17,2022-04-26,boxscore,TBR,,SEA,L,4,8,,45177,3,2.5,Gilbert,Fleming,,0.1354166667,N,9257,1.03,-,,40,35,4,9,0,0,2,4,0,0,5,12,0.245,0.32,0.393,0.712,15,1,0,0,0,0,0,0.333,9,10,Logan Gilbert,R,69,2022,9.0,169,115,34,10,M.Wisler (2-54) J.Fleming (6-L) P.Sanders (3) J.Adam (2) B.Raley (6) J.Guerra (2)
18,2022-04-27,boxscore,TBR,,SEA,W,3,2,,45207,3,2,Rasmussen,Gonzales,Kittredge,0.1118055556,N,7290,0.99,+,,34,30,3,7,0,0,1,3,1,0,3,7,0.245,0.32,0.39,0.709,10,1,1,0,0,0,0,0.273,7,9,Marco Gonzales,L,45,2022,9.0,138,85,14,26,D.Rasmussen (6-76-W) C.Poche (2-H) B.Raley (0-H) A.Kittredge (3-S)
19,2022-04-28,boxscore,TBR,,SEA,W,2,1,,45238,3,2,Feyereisen,Flexen,Thompson,0.1277777778,D,6749,1.04,++,,33,27,2,7,0,0,0,2,2,1,5,5,0.245,0.322,0.384,0.706,7,1,0,1,0,0,0,0.318,7,11,Chris Flexen,R,56,2022,9.0,133,87,23,17,J.Springs (4-51) J.Adam (1) J.Beeks (7) J.Feyereisen (4-W) C.Poche (0-H) R.Thompson (3-S)
20,2022-04-29,boxscore,TBR,,MIN,W,6,1,,45268,3,2,Kluber,Bundy,,0.09444444444,N,9928,1.07,+++,,34,31,6,8,2,0,2,6,4,0,3,9,0.246,0.322,0.39,0.713,16,0,0,0,0,0,0,0.3,4,9,Dylan Bundy,R,39,2022,9.0,114,71,22,13,C.Kluber (6-72-W) J.Guerra (2) P.Sanders (2)
21,2022-04-30,boxscore,TBR,,MIN,L,1,9,,45269,3,3,Stashak,McClanahan,,0.1284722222,D,18846,1.09,-,,34,31,1,4,1,0,1,1,0,0,3,11,0.24,0.317,0.384,0.701,8,0,0,0,0,0,0,0.158,6,10,Chris Archer,R,55,2022,9.0,183,120,30,21,S.McClanahan (5-56-L) J.Feyereisen (1) M.Wisler (3) R.Thompson (1) J.Guerra (0) B.Raley (2)
22,2022-05-01,boxscore,TBR,,MIN,L,3,9,,45270,3,4,Winder,Fleming,,0.1201388889,D,14830,1.07,--,,35,34,3,8,5,0,0,3,0,0,1,10,0.24,0.315,0.384,0.699,13,1,0,0,0,0,0,0.333,5,9,Josh Winder,R,74,2022,9.0,164,117,30,15,J.Fleming (4-27-L) R.Dugger (99)
23,2022-05-02,boxscore,TBR,@,OAK,W,6,1,,13-10,3,4,Rasmussen,Jefferies,,0.1090277778,N,2488,1.0,+,,39,39,6,12,2,0,1,5,0,0,0,8,0.244,0.314,0.387,0.701,17,0,0,0,0,0,0,0.367,6,10,Daulton Jefferies,R,25,2022,9.0,126,84,17,13,D.Rasmussen (4-63-W) J.Adam (3) P.Sanders (2) R.Thompson (1) A.Kittredge (4)
24,2022-05-03,boxscore,TBR,@,OAK,W,10,7,10.0,14-10,3,4,Kittredge,Trivino,,0.1395833333,N,2815,1.06,++,,45,42,10,14,4,2,2,10,0,1,3,8,0.248,0.318,0.402,0.719,28,1,0,0,0,0,1,0.375,6,12,Paul Blackburn,R,43,2022,10.0,148,94,24,17,R.Yarbrough (99-24) R.Thompson (0) J.Springs (4) M.Wisler (2) A.Kittredge (0-W) J.Adam (0)
25,2022-05-04,boxscore,TBR,@,OAK,W,3,0,,15-10,3,3,Feyereisen,Jackson,Kittredge,0.1104166667,D,4838,1.07,+++,,38,33,3,6,2,0,0,2,1,0,3,7,0.246,0.316,0.395,0.712,8,0,2,0,0,0,0,0.231,8,9,Frankie Montas,R,74,2022,9.0,90,66,15,15,C.Kluber (4-72) J.Feyereisen (3-W) C.Poche (5-H) A.Kittredge (0-S)
26,2022-05-05,boxscore,TBR,@,SEA,W,4,3,,16-10,2,2.5,McClanahan,Ray,Raley,0.1180555556,N,17027,1.13,++++,,35,34,4,7,0,0,1,4,2,0,1,8,0.244,0.313,0.391,0.704,10,0,0,0,0,0,0,0.24,4,9,Robbie Ray,L,48,2022,9.0,130,90,29,9,S.McClanahan (4-57-W) J.Adam (1-H) C.Poche (0-H) B.Raley (4-S)
27,2022-05-06,boxscore,TBR,@,SEA,W,8,7,,17-10,2,2,Raley,Sewald,,0.1625,N,26154,1.12,+++++,,43,38,8,13,2,0,1,7,0,1,4,10,0.248,0.318,0.395,0.712,18,0,1,0,0,0,0,0.444,8,10,Logan Gilbert,R,42,2022,9.0,167,97,25,12,M.Wisler (2-46) J.Fleming (4) J.Beeks (7) J.Feyereisen (1-H) R.Thompson (2-BS) B.Raley (0-W)
28,2022-05-07,boxscore,TBR,@,SEA,W,8,2,,18-10,2,1.5,Rasmussen,Gonzales,,0.1256944444,N,31589,1.18,++++++,,41,35,8,10,1,0,3,7,1,0,6,5,0.25,0.321,0.401,0.722,20,3,0,0,0,0,0,0.259,6,11,Marco Gonzales,L,43,2022,9.0,137,87,24,9,D.Rasmussen (4-56-W) C.Poche (1-H) B.Raley (0-H) R.Garza (24)
29,2022-05-08,boxscore,TBR,@,SEA,L-wo,1,2,10.0,18-11,2,2,Sewald,Wisler,,0.1277777778,D,32501,1.13,-,,35,33,1,5,0,0,1,1,1,2,2,14,0.246,0.317,0.396,0.713,8,0,0,0,0,0,1,0.222,5,11,George Kirby,R,71,2022,9.1,119,77,21,12,R.Yarbrough (4-62) R.Garza (0) J.Adam (2) A.Kittredge (3-BS) M.Wisler (1-L)
30,2022-05-09,boxscore,TBR,@,LAA,L,3,11,,18-12,2,3,Syndergaard,Springs,,0.1263888889,N,19537,1.19,--,,40,38,3,10,2,0,1,2,3,0,2,13,0.247,0.316,0.396,0.712,15,0,0,0,0,0,0,0.375,10,12,Noah Syndergaard,R,56,2022,8.0,147,96,28,17,J.Springs (5-48-L) J.Beeks (2) C.Faucher (99) M.Wisler (0)
31,2022-05-10,boxscore,TBR,@,LAA,L,0,12,,18-13,2,4,Detmers,Kluber,,0.09652777778,N,39313,1.19,---,,28,27,0,0,0,0,0,0,0,0,1,2,0.241,0.309,0.386,0.695,0,1,0,0,0,1,0,0.0,1,10,Reid Detmers,L,88,2022,8.0,138,95,20,10,C.Kluber (5-7-L) J.Adam (1) C.Poche (2) R.Thompson (3) J.Feyereisen (3) B.Phillips (28)
32,2022-05-11,boxscore,TBR,@,LAA,W,4,2,10.0,19-13,2,4,Feyereisen,Loup,Raley,0.1368055556,D,21045,1.11,+,,38,34,4,5,1,0,1,4,3,0,3,10,0.238,0.306,0.382,0.688,9,0,0,1,0,0,0,0.174,5,10,Shohei Ohtani,R,67,2022,10.0,156,98,28,30,S.McClanahan (5-81) A.Kittredge (2-BS) C.Poche (0) J.Feyereisen (0-W) B.Raley (3-S)
33,2022-05-13,boxscore,TBR,,TOR,W,5,2,,20-13,2,4.5,Kittredge,Gausman,Adam,0.1173611111,N,10169,1.21,++,,33,31,5,7,1,2,0,5,1,0,2,9,0.237,0.305,0.382,0.687,12,2,0,0,0,1,0,0.318,4,12,Kevin Gausman,R,60,2022,9.0,128,84,18,14,D.Rasmussen (5-59) R.Thompson (2-H) M.Wisler (3-H) B.Raley (1-BS) A.Kittredge (1-W) J.Adam (2-S)
34,2022-05-14,boxscore,TBR,,TOR,L,1,5,,20-14,2,4.5,Mayza,Thompson,,0.1270833333,N,15195,1.2,-,,35,32,1,6,1,0,1,1,0,0,2,7,0.236,0.304,0.38,0.684,10,1,1,0,0,0,0,0.208,7,10,Hyun Jin Ryu,L,54,2022,9.0,143,92,15,16,R.Yarbrough (5-52) J.Feyereisen (2) C.Poche (2) J.Adam (0) R.Thompson (0-L) J.Beeks (4)
35,2022-05-15,boxscore,TBR,,TOR,W,3,0,,21-14,2,4.5,Wisler,Manoah,Kittredge,0.1159722222,D,20986,1.22,+,,32,31,3,6,1,0,0,1,1,1,0,8,0.235,0.302,0.376,0.678,7,0,1,0,0,1,0,0.261,5,10,Alek Manoah,R,58,2022,9.0,128,88,16,12,J.Springs (5-58) M.Wisler (1-W) J.Feyereisen (0-H) C.Poche (0-H) A.Kittredge (1-S)
