Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,TEX,@,TOR,L,8,10,,0-1,3,1.5,Cimber,Santana,Romano,0.1430555556,N,45022.0,0.93,-,,41,35,8,8,1,0,3,7,0,0,5,2,0.229,0.341,0.514,0.856,18,0,1,0,0,0,0,0.167,6,9,José Berríos,R,27,2022,8.0,145,83,23,13,"J.Gray (99-46), J.King (99), J.Sborz (99-BS), D.Santana (99-L), G.Holland 
(99)"
2,2022-04-09,boxscore,TEX,@,TOR,L,3,4,,0-2,4,2,Richards,Martin,Romano,0.1104166667,D,43386.0,0.92,--,,36,35,3,9,1,0,0,3,0,0,1,6,0.243,0.312,0.4,0.712,10,1,0,0,0,0,0,0.31,6,11,Kevin Gausman,R,44,2022,8.0,113,76,20,10,"D.Dunning (99-47), B.Martin (99-L), S.Patton (99), M.Bush (99)"
3,2022-04-10,boxscore,TEX,@,TOR,W,12,6,,44928,3,1.5,Burke,Merryweather,,0.1416666667,D,31549.0,0.87,+,,45,37,12,11,2,0,3,12,1,0,7,10,0.262,0.344,0.467,0.812,22,0,0,0,1,0,0,0.32,6,12,Hyun Jin Ryu,L,28,2022,9.0,143,94,28,20,"S.Howard (99-28), B.Burke (99-W), D.Santana (1-H), J.King (1), J.Sborz (1), 
J.Barlow (99)"
4,2022-04-11,boxscore,TEX,,COL,L,4,6,10.0,44929,5,2,Bard,Holland,Goudeau,0.1673611111,D,35052.0,0.85,-,,40,36,4,9,1,0,1,4,0,1,4,8,0.259,0.34,0.441,0.78,13,1,0,0,0,0,0,0.296,7,12,Austin Gomber,L,46,2022,10.0,177,123,27,22,"T.Hearn (99-47), A.Abreu (99), D.Santana (0-H), M.Bush (1-H), B.Martin 
(1-BS), S.Patton (1), J.Barlow (0), G.Holland (2-L)"
5,2022-04-12,boxscore,TEX,,COL,L,1,4,,44930,5,3,Chacín,Pérez,Bard,0.13125,N,15862.0,0.81,--,,37,31,1,4,0,0,0,1,0,0,5,6,0.236,0.327,0.385,0.712,4,0,1,0,0,0,0,0.16,9,9,Chad Kuhl,R,56,2022,9.0,149,89,23,17,"M.Pérez (99-37-L), G.Holland (0), K.Allard (99), S.Patton (0), J.Sborz (1), 
J.King (1)"
6,2022-04-14,boxscore,TEX,,LAA,W,10,5,,44961,5,2,King,Ohtani,,0.1458333333,N,21440.0,0.85,+,,42,39,10,13,2,0,2,9,0,0,3,7,0.254,0.336,0.413,0.749,21,1,0,0,0,3,1,0.367,8,12,Shohei Ohtani,R,28,2022,9.0,189,113,38,20,"D.Dunning (4-46), J.King (1-W), B.Burke (3), G.Richards (99), B.Martin (2)"
7,2022-04-15,boxscore,TEX,,LAA,L,6,9,,44962,5,2,Warren,Allard,Iglesias,0.1472222222,N,28723.0,0.89,-,,41,34,6,8,1,0,0,5,3,0,5,10,0.251,0.337,0.393,0.73,9,0,1,0,1,0,1,0.32,8,11,Reid Detmers,L,32,2022,9.0,156,102,39,15,"M.Bush (3-50), A.Abreu (3), K.Allard (2-L), G.Holland (2), N.Snyder (99), 
J.Sborz (2), S.Patton (2)"
8,2022-04-16,boxscore,TEX,,LAA,L,2,7,,44963,5,3,Syndergaard,Hearn,,0.1319444444,N,34493.0,0.86,--,,33,33,2,6,1,0,0,2,2,0,0,8,0.243,0.321,0.371,0.692,7,0,0,0,0,0,0,0.24,4,9,Noah Syndergaard,R,58,2022,9.0,191,118,37,16,"T.Hearn (4-40-L), B.Martin (1), G.Richards (1), M.Moore (99), G.Holland 
(0), J.Barlow (4)"
9,2022-04-17,boxscore,TEX,,LAA,L,3,8,,44964,5,3.5,Mayers,Pérez,,0.1423611111,D,22650.0,0.79,---,,38,33,3,7,1,0,1,3,0,1,5,10,0.24,0.32,0.367,0.688,11,0,0,0,0,0,0,0.273,8,10,José Suarez,L,41,2022,9.0,162,92,28,19,"M.Pérez (4-40-L), S.Patton (1), B.Burke (2), J.King (2), N.Snyder (1), 
B.Martin (0), M.Bush (1)"
10,2022-04-19,boxscore,TEX,@,SEA,L,2,6,,44965,5,4,Ray,Gray,,0.1090277778,N,11067.0,0.78,----,,34,32,2,6,2,0,0,2,2,0,1,5,0.235,0.31,0.357,0.667,8,0,0,0,1,0,0,0.214,5,12,Robbie Ray,L,59,2022,8.0,133,84,21,11,"J.Gray (10-48-L), B.Martin (1), S.Patton (1), M.Moore (2)"
