Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
1,2022-04-08,boxscore,TOR,,TEX,W,10,8,,1-0,1.0,Tied,Cimber,Santana,Romano,0.1430555556,N,45022.0,0.93,+,,37,31,10,9,2,0,2,10,0,0,5,8,0.29,0.378,0.548,0.927,17,1,0,0,1,1,0,0.318,3,10.0,Jon Gray,R,46.0,2022,9.0,157.0,92.0,23.0,8.0,"J.Berríos (99-27), T.Saucedo (99), T.Thornton (99), R.Stripling (99), 
J.Merryweather (99), A.Cimber (99-BW), Y.García (99-H), J.Romano (99-S)"
2,2022-04-09,boxscore,TOR,,TEX,W,4,3,,2-0,1.0,Tied,Richards,Martin,Romano,0.1104166667,D,43386.0,0.94,++,,37,32,4,9,1,0,1,4,0,0,2,6,0.286,0.37,0.476,0.846,13,0,2,1,0,0,0,0.32,9,12.0,Dane Dunning,R,47.0,2022,9.0,122.0,82.0,17.0,20.0,"K.Gausman (99-44), T.Richards (99-W), Y.García (0-H), T.Mayza (99-H), 
J.Romano (0-S)"
3,2022-04-10,boxscore,TOR,,TEX,L,6,12,,44958,2.0,1,Burke,Merryweather,,0.1416666667,D,31549.0,0.99,-,,38,36,6,10,2,0,4,6,0,0,1,14,0.283,0.351,0.545,0.897,24,1,1,0,0,0,0,0.333,5,10.0,Spencer Howard,R,28.0,2022,9.0,175.0,105.0,28.0,17.0,"H.Ryu (99-28), J.Merryweather (1-L), R.Stripling (1), D.Phelps (99), 
T.Saucedo (1), T.Thornton (1)"
4,2022-04-11,boxscore,TOR,@,NYY,W,3,0,,44986,1.0,Tied,Manoah,Taillon,Romano,0.1270833333,N,26211.0,1.04,+,,38,37,3,10,2,0,1,3,1,0,0,10,0.279,0.336,0.507,0.843,15,0,1,0,0,0,0,0.346,8,10.0,Jameson Taillon,R,55.0,2022,9.0,131.0,80.0,18.0,22.0,"A.Manoah (99-73-W), T.Richards (1-H), A.Cimber (2-H), J.Romano (1-S)"
5,2022-04-12,boxscore,TOR,@,NYY,L,0,4,,44987,2.0,1,Holmes,Kikuchi,,0.1298611111,N,25068.0,1.07,-,,33,33,0,5,2,0,0,0,1,0,0,10,0.254,0.302,0.45,0.752,7,0,0,0,0,1,0,0.217,6,10.0,Nestor Cortes,L,62.0,2022,8.0,147.0,88.0,22.0,12.0,"Y.Kikuchi (99-40-L), D.Phelps (1), J.Merryweather (1), T.Mayza (2), A.Kay 
(99)"
6,2022-04-13,boxscore,TOR,@,NYY,W,6,4,,45018,1.0,Tied,Cimber,Green,Romano,0.1319444444,N,30109.0,1.04,+,,38,35,6,8,2,0,3,6,0,0,2,7,0.25,0.297,0.466,0.762,19,0,0,0,0,0,0,0.2,5,12.0,Gerrit Cole,R,54.0,2022,9.0,131.0,86.0,20.0,16.0,"J.Berríos (4-45), A.Cimber (1-W), Y.García (3-H), T.Richards (1-H), J.Romano 
(1-S)"
7,2022-04-14,boxscore,TOR,@,NYY,L,0,3,,45019,1.0,Tied,Severino,Gausman,King,0.1291666667,N,37255.0,1.07,-,,38,31,0,5,1,0,0,0,0,0,5,11,0.238,0.3,0.43,0.729,6,1,2,0,0,1,0,0.25,11,10.0,Luis Severino,R,67.0,2022,8.0,113.0,86.0,15.0,23.0,"K.Gausman (4-58-L), T.Mayza (1), D.Phelps (1), J.Merryweather (1)"
8,2022-04-15,boxscore,TOR,,OAK,W,4,1,,45049,1.0,up 1.0,Cimber,Jefferies,Romano,0.125,N,35415.0,0.98,+,,38,32,4,11,4,0,1,4,0,0,5,5,0.251,0.319,0.446,0.764,18,2,1,0,0,0,2,0.385,10,11.0,Daulton Jefferies,R,42.0,2022,9.0,137.0,90.0,24.0,15.0,"R.Stripling (4-61), T.Richards (1), T.Mayza (0-H), A.Cimber (1-W), Y.García 
(1-H), J.Romano (1-S)"
9,2022-04-16,boxscore,TOR,,OAK,L,5,7,,45050,1.0,Tied,Jiménez,Merryweather,Trivino,0.1284722222,D,32330.0,1.05,-,,37,36,5,10,1,0,2,5,0,1,1,11,0.254,0.316,0.449,0.765,17,1,0,0,0,0,0,0.348,5,11.0,Paul Blackburn,R,52.0,2022,9.0,134.0,84.0,23.0,11.0,"H.Ryu (5-31), T.Thornton (5), D.Phelps (1), Y.García (0), J.Merryweather 
(1-L)"
10,2022-04-17,boxscore,TOR,,OAK,W,4,3,,45081,1.0,up 0.5,Manoah,Oller,Romano,0.1284722222,D,27490.0,1.0,+,,36,30,4,7,2,0,0,3,1,0,5,6,0.252,0.318,0.435,0.753,9,0,0,0,1,1,1,0.28,8,10.0,Adam Oller,R,40.0,2022,9.0,123.0,84.0,15.0,22.0,"A.Manoah (5-60-W), T.Mayza (1-H), A.Cimber (1-H), J.Romano (1-S)"
